,name,tl_x,tl_y,br_x,br_y,step,array,type,sub_type,center,side,enable,board,offset_x,offset_y,z
0,top-left,9,5,14,10,1,0,7,0,1,0,1,0,0,0,0
1,bottom-right,48.78,107,53.78,112,1,0,7,0,1,0,1,0,0,0,0
2,MN9AHA,10.15,100,15.1,101.42,1,0,0,0,0,0,1,0,0,0,0
3,M9KkdH,29.35,60.96,34.32,61.98,1,0,0,0,0,0,1,0,0,0,0
4,8PEYvd,0,90.87,13.59,92.6,1,0,0,0,0,0,1,0,0,0,0
5,tXVqS2,43.47,78.61,46.1,86.62,1,0,0,0,0,0,1,0,0,0,0
6,pdF548,9.47,11.22,16.27,12.28,1,0,0,0,0,0,1,0,0,0,0
7,gQk5QJ,34.89,100,38.68,103.69,1,0,0,0,0,0,1,0,0,0,0
8,CqMCxu,0,61.36,11.68,69.27,1,0,0,0,0,0,1,0,0,0,0
9,skVx6u,43.78,16.46,57.82,22.5,1,0,0,0,0,0,1,0,0,0,0
10,YIZV6s,0,37.24,7.78,40.76,1,0,0,0,0,0,1,0,0,0,0
11,DTmpbU,43.78,100,47.38,112.17,1,0,0,0,0,0,1,0,0,0,0
12,UENfJU,5.37,18.47,18.88,21.88,1,0,0,0,0,0,1,0,0,0,0
13,fzgIjO,18.46,10.92,23.14,14,1,0,0,0,0,0,1,0,0,0,0
14,fQ7JOo,35.9,30.58,38.14,33.36,1,0,4,0,0,0,1,0,0,0,0
15,QaIRqF,0,80.21,1.15,81.24,1,0,0,0,0,1,1,0,0,0,0
16,zhvIGY,14.27,55.93,26.28,68.55,1,0,0,0,0,0,1,1,0,0,0
17,528qqI,4.51,48.81,5.74,51.61,1,0,0,0,0,0,1,0,0,0,0
18,AojxBL,40.93,40.84,44.11,42.41,1,0,0,0,0,0,1,0,0,0,0
19,iIZj6k,43.78,25.69,44.81,28.1,1,0,0,0,0,0,1,0,0,0,0
20,L0SByZ,17.98,100,20.32,101.09,1,0,0,0,0,0,1,0,0,0,0
21,moRDxi,16.45,29.38,24.92,35.03,1,0,0,0,0,0,1,0,0,0,0
22,cizHWN,24.66,2.89,26.17,4.97,1,0,0,0,0,0,1,0,0,0,0
23,xcTgWH,0,0,2.6,7.64,1,0,0,0,0,0,1,0,0,0,0
24,zOid4V,39.66,29.58,43.19,32.83,1,0,0,0,0,0,1,0,0,0,0
25,Re6Bl7,43.78,50.76,50.2,51.8,1,0,0,0,0,0,1,0,0,0,0
26,6cyp4p,32.21,0,35.85,1.2,1,0,0,0,0,0,1,0,0,0,0
27,DmfhLe,35.54,86.43,42.48,87.49,1,0,0,0,0,0,1,0,0,0,0
28,RQUWsV,26.11,100,28.45,110.78,1,0,0,0,0,0,1,0,0,0,0
29,Ima5mY,43.78,23.17,57.1,25.58,1,0,0,0,0,0,1,0,0,0,0
30,hvTh86,0,45.95,3.52,49.92,1,0,0,0,0,0,1,0,0,0,0
31,YceSpZ,12.04,83.87,14.99,85.17,1,0,0,0,0,0,1,0,0,0,0
32,Q0676Q,25.57,16.68,36.95,25.68,1,0,4,0,0,0,1,0,0,0,0
33,Xp3hZK,43.78,69.45,57.99,73.88,1,0,0,0,0,0,1,0,0,0,0
34,EXuDGb,0,15.92,5.31,23.13,1,0,0,0,0,0,1,1,0,0,0
35,xbRmD4,10.74,50.87,12.9,53.21,1,0,0,0,0,0,1,0,0,0,0
36,EN1Ph2,0,100,2.6,102.63,1,0,0,0,0,0,1,0,0,0,0
37,NpryGk,27.41,84.41,30.61,88.62,1,0,0,0,0,0,1,1,0,0,0
38,YhBuoL,3.46,72.06,13.38,73.07,1,0,0,0,0,0,1,0,0,0,0
39,0dgw2R,43.78,53.87,45.51,56.64,1,0,0,0,0,0,1,0,0,0,0
40,ERlHlD,43.78,28.56,48.66,30.62,1,0,0,0,0,0,1,0,0,0,0
41,0XzfYK,5.71,75.6,10.14,86.7,1,0,0,0,0,0,1,0,0,0,0
42,vW3DoA,34.98,44.08,39.09,47.46,1,0,0,0,0,0,1,0,0,0,0
43,EOUgHD,0,74.9,2.59,78.11,1,0,0,0,0,0,1,0,0,0,0
44,dOVNKh,43.78,36.02,46.15,37.55,1,0,0,0,0,0,1,0,0,0,0
45,8isyxo,17.41,2.71,19.73,5.66,1,0,0,0,0,0,1,0,0,0,0
46,aQNRM4,35.91,68.85,40.25,80.84,1,0,0,0,0,0,1,0,0,0,0
47,FyHOnZ,19.88,92.84,30.48,98.67,1,0,0,0,0,0,1,0,0,0,0
48,PXHoxp,28.31,33.43,42.84,39.85,1,0,0,0,0,0,1,0,0,0,0
49,3p64iM,43.78,92.75,47.9,95,1,0,0,0,0,0,1,0,0,0,0
50,pftC6W,24.58,35.2,25.91,37.8,1,0,0,0,0,0,1,0,0,0,0
51,mFWNUT,40.24,100,41.55,101.2,1,0,0,0,0,0,1,1,0,0,0
52,ypFPCs,30.14,40.65,38.43,41.65,1,0,0,0,0,0,1,0,0,0,0
