,name,tl_x,tl_y,br_x,br_y,step,array,array_group,type,sub_type,center,side,enable,board,mfov,offset_x,offset_y,z,body_condi,lead_condi
0,top-left,9.0,5.0,14.0,10.0,1,0,1,7,0,1,0,1,0,0,0,0,-1,2047,2047
1,bottom-right,48.78,107.0,53.78,112.0,1,0,1,7,0,1,0,1,0,0,0,0,-1,2047,2047
2,MN9AHA,10.15,100.0,15.1,101.42,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
3,M9KkdH,29.35,60.96,34.32,61.98,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
4,8PEYvd,0.0,90.87,13.59,92.6,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
5,tXVqS2,43.47,78.61,46.1,86.62,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
6,pdF548,9.47,11.22,16.27,12.28,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
7,gQk5QJ,34.89,100.0,38.68,103.69,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
8,CqMCxu,0.0,61.36,11.68,69.27,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
9,skVx6u,43.78,16.46,57.82,22.5,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
10,YIZV6s,0.0,37.24,7.78,40.76,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
11,DTmpbU,43.78,100.0,47.38,112.17,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
12,UENfJU,5.37,18.47,18.88,21.88,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
13,fzgIjO,18.46,10.92,23.14,14.0,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
14,fQ7JOo,35.9,30.58,38.14,33.36,1,0,1,4,0,0,0,1,0,0,0,0,-1,2047,2047
15,QaIRqF,0.0,80.21,1.15,81.24,1,0,1,0,0,0,1,1,0,0,0,0,-1,2047,2047
16,zhvIGY,14.27,55.93,26.28,68.55,1,0,1,0,0,0,0,1,1,0,0,0,-1,2047,2047
17,528qqI,4.51,48.81,5.74,51.61,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
18,AojxBL,40.93,40.84,44.11,42.41,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
19,iIZj6k,43.78,25.69,44.81,28.1,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
20,L0SByZ,17.98,100.0,20.32,101.09,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
21,moRDxi,16.45,29.38,24.92,35.03,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
22,cizHWN,24.66,2.89,26.17,4.97,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
23,xcTgWH,0.0,0.0,2.6,7.64,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
24,zOid4V,39.66,29.58,43.19,32.83,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
25,Re6Bl7,43.78,50.76,50.2,51.8,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
26,6cyp4p,32.21,0.0,35.85,1.2,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
27,DmfhLe,35.54,86.43,42.48,87.49,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
28,RQUWsV,26.11,100.0,28.45,110.78,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
29,Ima5mY,43.78,23.17,57.1,25.58,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
30,hvTh86,0.0,45.95,3.52,49.92,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
31,YceSpZ,12.04,83.87,14.99,85.17,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
32,Q0676Q,25.57,16.68,36.95,25.68,1,0,1,4,0,0,0,1,0,0,0,0,-1,2047,2047
33,Xp3hZK,43.78,69.45,57.99,73.88,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
34,EXuDGb,0.0,15.92,5.31,23.13,1,0,1,0,0,0,0,1,1,0,0,0,-1,2047,2047
35,xbRmD4,10.74,50.87,12.9,53.21,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
36,EN1Ph2,0.0,100.0,2.6,102.63,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
37,NpryGk,27.41,84.41,30.61,88.62,1,0,1,0,0,0,0,1,1,0,0,0,-1,2047,2047
38,YhBuoL,3.46,72.06,13.38,73.07,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
39,0dgw2R,43.78,53.87,45.51,56.64,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
40,ERlHlD,43.78,28.56,48.66,30.62,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
41,0XzfYK,5.71,75.6,10.14,86.7,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
42,vW3DoA,34.98,44.08,39.09,47.46,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
43,EOUgHD,0.0,74.9,2.59,78.11,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
44,dOVNKh,43.78,36.02,46.15,37.55,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
45,8isyxo,17.41,2.71,19.73,5.66,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
46,aQNRM4,35.91,68.85,40.25,80.84,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
47,FyHOnZ,19.88,92.84,30.48,98.67,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
48,PXHoxp,28.31,33.43,42.84,39.85,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
49,3p64iM,43.78,92.75,47.9,95.0,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
50,pftC6W,24.58,35.2,25.91,37.8,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
51,mFWNUT,40.24,100.0,41.55,101.2,1,0,1,0,0,0,0,1,1,0,0,0,-1,2047,2047
52,ypFPCs,30.14,40.65,38.43,41.65,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
53,mNofts,21.52,71.67,27.85,83.7,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
54,4tRbhM,27.19,51.11,29.95,53.96,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
55,mgmVgl,0.06,30.54,3.45,31.63,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
56,hiO5PQ,27.27,4.5,33.94,12.15,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
57,WeQ7Fj,43.78,89.4,44.82,92.51,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
58,dI9XFp,5.3,32.41,9.04,33.89,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
59,f8Cl1l,0.0,98.41,3.0,99.94,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
60,uVSSNa,27.83,29.8,30.44,33.17,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
61,AvI70U,10.11,40.54,14.24,42.31,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
62,cT1hy0,43.78,74.07,47.18,75.86,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
63,Et2rDo,43.78,45.41,52.63,49.29,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
64,8HTaMj,6.94,0.26,8.23,7.29,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
65,8vuafe,43.78,13.26,52.26,15.98,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
66,IiRSOL,12.4,0.0,23.95,1.05,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
67,kzV5y5,24.81,98.82,38.23,99.97,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
68,7xtIxe,29.62,100.0,32.55,103.62,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
69,VidxbD,3.84,0.0,5.01,6.08,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
70,7JO7nk,24.45,100.0,25.45,101.0,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
71,v7tBos,20.6,100.0,23.01,112.23,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
72,qRoq2x,9.77,0.0,11.58,4.02,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
73,bXFuq4,39.02,62.93,40.76,67.75,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
74,ZGqLSe,31.49,87.42,33.22,89.03,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
75,Er7aSP,37.25,0.0,48.99,1.76,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
76,n4eiCE,35.8,90.3,42.02,93.91,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
77,BTH4RP,43.78,2.14,45.96,5.95,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
78,YK13J2,20.56,4.49,21.79,8.45,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
79,LEINVP,43.78,97.96,52.57,99.1,1,0,1,0,0,0,0,1,1,0,0,0,-1,2047,2047
80,OS6qQu,33.23,100.0,34.23,109.77,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
81,qVrDh2,6.68,24.61,9.27,31.97,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
82,zyzdOM,0.0,93.9,10.3,96.47,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
83,qG0MlW,13.54,52.55,23.1,53.58,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
84,j0cOdn,4.22,13.18,5.28,14.22,1,0,1,0,0,0,0,1,1,0,0,0,-1,2047,2047
