,x,y,z,type,sub_type,side,board,step,big,array,array_idx,comp_idx
0,8.5,103.36,-1,7,0,0,0,1,0,1,"[0"],"[0"]
1,18.715,99.45,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[74, 95, 78, 224, 105, 169, 68, 168, 75, 138, 44, 19, 83, 173, 129, 210, 99, 51"]
2,20,63.575,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[89, 161, 32, 42, 56, 218, 38, 47, 76, 50, 156, 140, 160, 198, 151"]
3,9.2,46.905,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0"],"[46, 171, 225, 85, 188, 43, 191, 69, 97"]
4,19.825,19.61,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[227, 177, 211, 195, 55, 103, 67, 90, 61, 118"]
5,59.615,57.915,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[113, 88, 111, 209, 1, 91, 86, 133, 134, 147, 102, 203, 92, 194, 114, 81, 193, 28"]
6,79.96,66.115,-1,0,0,0,0,0,0,1,"[0, 0"],"[216, 87"]
7,59.435,92.345,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[57, 59, 159, 23, 175, 116, 98, 214, 93, 137, 135, 8, 106, 221, 3, 4, 77, 130, 217, 196"]
8,93.99,92.88,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[123, 72, 131, 112, 142, 182, 200, 204, 33, 29, 63, 7"]
9,127.805,99.49,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[6, 73, 223, 70, 154, 10, 122, 53, 37, 146, 79, 11, 26, 104, 125, 174, 167, 25, 120"]
10,113.295,67.19,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[96, 2, 9, 27, 127, 180, 35, 170, 101, 186, 212, 166"]
11,99.69,44.115,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[115, 13, 17, 30, 20, 189, 16, 202, 145, 181, 185, 108, 124"]
12,91.095,19.7,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[220, 139, 109, 71, 48, 82, 40, 126, 155, 208, 226, 150, 49"]
13,127.145,18.575,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0"],"[157, 176, 164, 34, 110, 18, 199, 187, 205"]
14,151.655,19.955,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[190, 14, 192, 31, 65, 163, 64, 148, 215, 80, 158, 143, 165"]
15,140.18,55.035,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[84, 162, 100, 206, 52, 62, 128, 183, 179, 60, 172, 152, 12, 15, 121, 36"]
16,164.03,66.065,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[5, 41, 222, 107, 54, 178, 24, 197, 132, 149, 117, 136, 141, 58"]
17,168.08,101.935,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[22, 201, 119, 45, 207, 184, 39, 213, 66, 153, 219, 21, 144, 94"]
