,name,tl_x,tl_y,br_x,br_y,step,array,type,sub_type,center,side,enable,board,offset_x,offset_y,z
0,name,6,100.86,11,105.86,1,0,7,0,0,0,1,0,0,0,0
1,name,45.85,66.37,46.91,71.72,1,0,0,0,0,0,1,0,0,0,0
2,name,122.59,74.74,123.91,80.26,1,0,0,0,0,0,1,0,0,0,0
3,name,55.92,77.6,60.28,81.3,1,0,0,0,0,0,1,0,0,0,0
4,name,65.28,86.25,67.09,89.67,1,0,0,0,0,0,1,0,0,0,0
5,name,178,69.49,180.43,83.95,1,0,0,0,0,0,1,0,0,0,0
6,name,133.63,105.86,141.82,109.26,1,0,0,0,0,0,1,0,0,0,0
7,name,99.43,73.79,103.22,83.53,1,0,0,0,0,0,1,0,0,0,0
8,name,68.47,95.12,75.51,104.76,1,0,0,0,0,0,1,0,0,0,0
9,name,116.71,72.36,120.48,79.07,1,0,0,0,0,0,1,0,0,0,0
10,name,117.41,100.94,124.04,115.22,1,0,0,0,0,0,1,0,0,0,0
11,name,118.57,97.86,121.45,100.36,1,0,0,0,0,0,1,0,0,0,0
12,name,126.74,65.52,133.99,66.72,1,0,0,0,0,0,1,0,0,0,0
13,name,109.36,39.52,115.06,47.34,1,0,0,0,0,0,1,0,0,0,0
14,name,144.27,4.13,153.94,9.2,1,0,0,0,0,0,1,0,0,0,0
15,name,131.42,54.61,132.67,59.73,1,0,0,0,0,0,1,0,0,0,0
16,name,116.46,49.34,117.48,53.8,1,0,0,0,0,0,1,0,0,0,0
17,name,90.23,28.15,91.62,40.09,1,0,0,0,0,0,1,0,0,0,0
18,name,115.18,7.21,121.18,15.94,1,0,0,0,0,0,1,0,0,0,0
19,name,29.4,105.13,37.43,106.29,1,0,0,0,0,0,1,0,0,0,0
20,name,92.88,27.59,94.32,40.98,1,0,0,0,0,0,1,0,0,0,0
21,name,151.88,96.05,161.5,97.56,1,0,0,0,0,0,1,0,0,0,0
22,name,178,105.86,187.39,114.39,1,0,0,0,0,0,1,0,0,0,0
23,name,51.55,96.95,60.82,108.62,1,0,0,0,0,0,1,0,0,0,0
24,name,161.41,48.16,162.99,59.07,1,0,0,0,0,0,1,0,0,0,0
25,name,108.79,90.14,110.92,93.23,1,0,0,0,0,0,1,0,0,0,0
26,name,132.16,81.56,137.19,83,1,0,0,0,0,0,1,0,0,0,0
27,name,109.07,68.4,111.76,78.82,1,0,0,0,0,0,1,0,0,0,0
28,name,70.16,62.8,72.57,67.3,1,0,0,0,0,0,1,0,0,0,0
29,name,82.4,85.74,86.53,88.19,1,0,0,0,0,0,1,0,0,0,0
30,name,103.21,32.13,106.54,33.29,1,0,0,0,0,0,1,0,0,0,0
31,name,170.41,30.3,171.57,31.36,1,0,0,0,0,0,1,0,0,0,0
32,name,0,63.25,3.03,64.31,1,0,0,0,0,0,1,0,0,0,0
33,name,79.44,80.44,82.35,87.82,1,0,0,0,0,0,1,0,0,0,0
34,name,128.32,19.5,134.88,20.5,1,0,0,0,0,0,1,0,0,0,0
35,name,98.31,66.84,103,73.46,1,0,0,0,0,0,1,0,0,0,0
36,name,120.92,60.61,124.76,64.28,1,0,0,0,0,0,1,0,0,0,0
37,name,136.41,90.05,137.44,93.12,1,0,0,0,0,0,1,0,0,0,0
38,name,10.88,66.74,12.23,67.85,1,0,0,0,0,0,1,0,0,0,0
39,name,155.2,105.86,156.9,116.69,1,0,0,0,0,0,1,0,0,0,0
40,name,103,15.51,109.12,18.2,1,0,0,0,0,0,1,0,0,0,0
41,name,169.05,76.7,176.82,85.05,1,0,0,0,0,0,1,0,0,0,0
42,name,8.33,61.14,9.7,69.13,1,0,0,0,0,0,1,0,0,0,0
43,name,9.35,47.88,10.61,60.19,1,0,0,0,0,0,1,0,0,0,0
44,name,13.26,84.35,14.27,93.17,1,0,0,0,0,0,1,0,0,0,0
45,name,175.24,94.01,181.56,96.63,1,0,0,0,0,0,1,0,0,0,0
46,name,1.58,32.77,8.19,42.45,1,0,0,0,0,0,1,0,0,0,0
47,name,15.88,56.92,22.82,70.03,1,0,0,0,0,0,1,0,0,0,0
