,name,tl_x,tl_y,br_x,br_y,type,center,side,board,offset_x,offset_y,time
0,top-left,9.00,5.00,14.00,10.00,2,1,0,0,0,0,0.25
1,bottom-right,48.78,107.00,53.78,112.00,2,1,0,0,0,0,0.25
2,MN9AHA,10.15,100.00,15.10,101.42,0,0,0,0,0,0,0.07029
3,M9KkdH,29.35,60.96,34.32,61.98,0,0,0,0,0,0,0.050693999999999996
4,8PEYvd,0.00,90.87,13.59,92.60,0,0,0,0,0,0,0.235107
5,tXVqS2,43.47,78.61,46.10,86.62,0,0,0,0,0,0,0.210663
6,pdF548,9.47,11.22,16.27,12.28,0,0,0,0,0,0,0.07208
7,gQk5QJ,34.89,100.00,38.68,103.69,0,0,0,0,0,0,0.139851
8,CqMCxu,0.00,61.36,11.68,69.27,0,0,0,0,0,0,0.923888
9,skVx6u,43.78,16.46,57.82,22.50,0,0,0,0,0,0,0.8480159999999999
10,YIZV6s,0.00,37.24,7.78,40.76,0,0,0,0,0,0,0.273856
11,DTmpbU,43.78,100.00,47.38,112.17,0,0,0,0,0,0,0.43811999999999995
12,UENfJU,5.37,18.47,18.88,21.88,0,0,0,0,0,0,0.46069099999999996
13,fzgIjO,18.46,10.92,23.14,14.00,0,0,0,0,0,0,0.144144
14,fQ7JOo,35.90,30.58,38.14,33.36,1,0,0,0,0,0,0.062272
15,QaIRqF,0.00,80.21,1.15,81.24,0,0,1,0,0,0,0.011845
16,zhvIGY,14.27,55.93,26.28,68.55,0,0,0,1,0,0,1.5156619999999998
17,528qqI,4.51,48.81,5.74,51.61,0,0,0,0,0,0,0.03444
18,AojxBL,40.93,40.84,44.11,42.41,0,0,0,0,0,0,0.049926000000000005
19,iIZj6k,43.78,25.69,44.81,28.10,0,0,0,0,0,0,0.024823000000000005
20,L0SByZ,17.98,100.00,20.32,101.09,0,0,0,0,0,0,0.025506
21,moRDxi,16.45,29.38,24.92,35.03,0,0,0,0,0,0,0.47855500000000006
22,cizHWN,24.66,2.89,26.17,4.97,0,0,0,0,0,0,0.031408
23,xcTgWH,0.00,0.00,2.60,7.64,0,0,0,0,0,0,0.19864
24,zOid4V,39.66,29.58,43.19,32.83,0,0,0,0,0,0,0.11472500000000001
25,Re6Bl7,43.78,50.76,50.20,51.80,0,0,0,0,0,0,0.066768
26,6cyp4p,32.21,0.00,35.85,1.20,0,0,0,0,0,0,0.043680000000000004
27,DmfhLe,35.54,86.43,42.48,87.49,0,0,0,0,0,0,0.073564
28,RQUWsV,26.11,100.00,28.45,110.78,0,0,0,0,0,0,0.252252
29,Ima5mY,43.78,23.17,57.10,25.58,0,0,0,0,0,0,0.3210120000000001
30,hvTh86,0.00,45.95,3.52,49.92,0,0,0,0,0,0,0.139744
31,YceSpZ,12.04,83.87,14.99,85.17,0,0,0,0,0,0,0.03835
32,Q0676Q,25.57,16.68,36.95,25.68,1,0,0,0,0,0,1.0242
33,Xp3hZK,43.78,69.45,57.99,73.88,0,0,0,0,0,0,0.629503
34,EXuDGb,0.00,15.92,5.31,23.13,0,0,0,1,0,0,0.382851
35,xbRmD4,10.74,50.87,12.90,53.21,0,0,0,0,0,0,0.050544000000000006
36,EN1Ph2,0.00,100.00,2.60,102.63,0,0,0,0,0,0,0.06838
37,NpryGk,27.41,84.41,30.61,88.62,0,0,0,1,0,0,0.13472
38,YhBuoL,3.46,72.06,13.38,73.07,0,0,0,0,0,0,0.100192
39,0dgw2R,43.78,53.87,45.51,56.64,0,0,0,0,0,0,0.047921
40,ERlHlD,43.78,28.56,48.66,30.62,0,0,0,0,0,0,0.10052799999999999
41,0XzfYK,5.71,75.60,10.14,86.70,0,0,0,0,0,0,0.49172999999999994
42,vW3DoA,34.98,44.08,39.09,47.46,0,0,0,0,0,0,0.13891799999999999
43,EOUgHD,0.00,74.90,2.59,78.11,0,0,0,0,0,0,0.083139
44,dOVNKh,43.78,36.02,46.15,37.55,0,0,0,0,0,0,0.036261
