,name,tl_y,tl_x,br_y,br_x,type,center,side,board,offset_x,offset_y,time
0,0|FIDU1,199,4,201,6,2,1,0,0,0,0,0.04
1,0|FIDU2,9,294,11,296,2,1,0,0,0,0,0.04
2,1|,199.5,128.5,204.5,133.5,1,0,0,0,0,0,0.25
3,2|,5.499924,166.5,10.49992,171.5,1,0,0,0,0,0,0.25
4,1|BGA1,144.6221,169.139,157.6221,180.139,0,0,0,0,0,0,1.43
5,1|BGA2,144.6221,155.931,157.6221,166.931,0,0,0,0,0,0,1.43
6,1|BGA3,183.1256,250.698,189.2226,258.86,0,0,0,0,0,0,0.497637
7,1|BGA4,191.2536,250.825,197.3506,258.987,0,0,0,0,0,0,0.497637
8,1|C1,4.901395,291.2247,7.334725,294.3917,0,0,0,0,0,0,0.077064
9,1|C10,11.17539,286.7287,13.60872,289.8957,0,0,0,0,0,0,0.077064
10,1|C100,11.94998,232.5039,12.24013,233.1039,0,0,0,0,0,0,0.001741
11,1|C101,13.87998,232.7579,14.17013,233.3579,0,0,0,0,0,0,0.001741
12,1|C102,5.980985,229.8629,6.271135,230.4629,0,0,0,0,0,0,0.001741
13,1|C103,6.767995,229.8629,7.058145,230.4629,0,0,0,0,0,0,0.001741
14,1|C104,7.682985,229.8629,7.973135,230.4629,0,0,0,0,0,0,0.001741
15,1|C105,8.850985,229.8629,9.141135,230.4629,0,0,0,0,0,0,0.001741
16,1|C106,10.27399,229.8629,10.56414,230.4629,0,0,0,0,0,0,0.001741
17,1|C107,11.94998,229.8629,12.24013,230.4629,0,0,0,0,0,0,0.001741
18,1|C108,13.87998,229.8629,14.17013,230.4629,0,0,0,0,0,0,0.001741
19,1|C109,6.205985,228.4939,6.805985,228.7841,0,0,0,0,0,0,0.001741
20,1|C11,14.6294,286.7287,17.06273,289.8957,0,0,0,0,0,0,0.077064
21,1|C110,7.704995,228.4939,8.304995,228.7841,0,0,0,0,0,0,0.001741
22,1|C111,9.329995,228.4939,9.929995,228.7841,0,0,0,0,0,0,0.001741
23,1|C112,11.20998,228.4939,11.80998,228.7841,0,0,0,0,0,0,0.001741
24,1|C113,13.34299,228.4939,13.94299,228.7841,0,0,0,0,0,0,0.001741
25,1|C114,6.01902,223.974,6.2311,224.316,0,0,0,0,0,0,0.000725
26,1|C115,6.67903,224.101,6.89111,224.443,0,0,0,0,0,0,0.000725
27,1|C116,7.46702,224.355,7.6791,224.697,0,0,0,0,0,0,0.000725
28,1|C117,8.50802,224.609,8.7201,224.951,0,0,0,0,0,0,0.000725
29,1|C118,9.80403,224.863,10.01611,225.205,0,0,0,0,0,0,0.000725
30,1|C119,11.35302,225.117,11.5651,225.459,0,0,0,0,0,0,0.000725
31,1|C12,18.33841,286.7287,20.77174,289.8957,0,0,0,0,0,0,0.077064
32,1|C120,13.15602,225.371,13.3681,225.713,0,0,0,0,0,0,0.000725
33,1|C121,6.01902,222.856,6.2311,223.198,0,0,0,0,0,0,0.000725
34,1|C122,6.67903,222.856,6.89111,223.198,0,0,0,0,0,0,0.000725
35,1|C123,7.46702,222.856,7.6791,223.198,0,0,0,0,0,0,0.000725
36,1|C124,8.50802,222.856,8.7201,223.198,0,0,0,0,0,0,0.000725
37,1|C125,9.80403,222.856,10.01611,223.198,0,0,0,0,0,0,0.000725
38,1|C126,11.35302,222.856,11.5651,223.198,0,0,0,0,0,0,0.000725
39,1|C127,13.15602,222.856,13.3681,223.198,0,0,0,0,0,0,0.000725
40,1|C128,6.7181,221.651,7.0601,221.863,0,0,0,0,0,0,0.000725
41,1|C129,7.83611,221.651,8.17811,221.863,0,0,0,0,0,0,0.000725
42,1|C13,22.30039,286.7287,24.73372,289.8957,0,0,0,0,0,0,0.077064
43,1|C130,9.0801,221.651,9.4221,221.863,0,0,0,0,0,0,0.000725
44,1|C131,10.5791,221.651,10.9211,221.863,0,0,0,0,0,0,0.000725
45,1|C132,12.3311,221.651,12.6731,221.863,0,0,0,0,0,0,0.000725
46,1|C133,4.67956,209.7905,11.92256,216.2915,0,0,0,0,0,0,0.470867
47,1|C134,4.87556,199.7115,12.11856,206.2125,0,0,0,0,0,0,0.470867
48,1|C135,41.77956,246.3445,48.28056,253.5875,0,0,0,0,0,0,0.470867
49,1|C136,49.39957,246.1915,55.90057,253.4345,0,0,0,0,0,0,0.470867
50,1|C137,57.01956,245.9375,63.52056,253.1805,0,0,0,0,0,0,0.470867
51,1|C138,41.73356,235.2765,48.23456,242.5195,0,0,0,0,0,0,0.470867
52,1|C139,49.35357,235.6325,55.85457,242.8755,0,0,0,0,0,0,0.470867
53,1|C14,26.51638,286.7287,28.94971,289.8957,0,0,0,0,0,0,0.077064
54,1|C140,56.97356,235.8865,63.47456,243.1295,0,0,0,0,0,0,0.470867
55,1|C141,36.12438,195.3198,55.96257,196.7605,0,0,0,0,0,0,0.285809
56,1|C142,45.30757,165.1533,46.74826,184.9915,0,0,0,0,0,0,0.285807
57,1|C143,113.1461,287.1749,117.3681,294.361,0,0,0,0,0,0,0.303397
58,1|C144,118.2261,287.4289,122.4481,294.615,0,0,0,0,0,0,0.303397
59,1|C145,123.8141,287.683,128.0361,294.8691,0,0,0,0,0,0,0.303397
60,1|C146,129.9101,287.937,134.1321,295.1231,0,0,0,0,0,0,0.303397
61,1|C147,113.1461,278.0819,117.3681,285.268,0,0,0,0,0,0,0.303397
62,1|C148,118.2261,278.0819,122.4481,285.268,0,0,0,0,0,0,0.303397
63,1|C149,123.8141,278.0819,128.0361,285.268,0,0,0,0,0,0,0.303397
64,1|C15,5.795725,282.9293,8.962725,285.3627,0,0,0,0,0,0,0.077066
65,1|C150,129.9101,278.0819,134.1321,285.268,0,0,0,0,0,0,0.303397
66,1|C151,110.699,271.969,117.8851,276.191,0,0,0,0,0,0,0.303397
67,1|C152,119.792,271.969,126.9781,276.191,0,0,0,0,0,0,0.303397
68,1|C153,129.393,271.969,136.5791,276.191,0,0,0,0,0,0,0.303397
69,1|C154,113.6636,261.831,116.8506,267.787,0,0,0,0,0,0,0.189818
70,1|C155,117.6766,262.085,120.8636,268.041,0,0,0,0,0,0,0.189818
71,1|C156,122.1976,262.339,125.3846,268.295,0,0,0,0,0,0,0.189818
72,1|C157,127.2276,262.593,130.4146,268.549,0,0,0,0,0,0,0.189818
73,1|C158,113.6636,254.008,116.8506,259.964,0,0,0,0,0,0,0.189818
74,1|C159,117.6766,254.008,120.8636,259.964,0,0,0,0,0,0,0.189818
75,1|C16,10.29071,282.9293,13.45771,285.3627,0,0,0,0,0,0,0.077066
76,1|C160,122.1976,254.008,125.3846,259.964,0,0,0,0,0,0,0.189818
77,1|C161,127.2276,254.008,130.4146,259.964,0,0,0,0,0,0,0.189818
78,1|C162,110.984,248.9665,116.9401,252.1535,0,0,0,0,0,0,0.189821
79,1|C163,118.807,248.9665,124.7631,252.1535,0,0,0,0,0,0,0.189821
80,1|C164,127.138,248.9665,133.0941,252.1535,0,0,0,0,0,0,0.189821
81,1|C165,113.8071,241.4675,116.7071,244.8185,0,0,0,0,0,0,0.097179
82,1|C166,117.3121,241.7215,120.2121,245.0725,0,0,0,0,0,0,0.097179
83,1|C167,121.3251,241.9755,124.2251,245.3265,0,0,0,0,0,0,0.097179
84,1|C168,125.8471,242.2295,128.7471,245.5805,0,0,0,0,0,0,0.097179
85,1|C169,113.8071,236.2355,116.7071,239.5865,0,0,0,0,0,0,0.097179
86,1|C17,14.91373,282.9293,18.08073,285.3627,0,0,0,0,0,0,0.077066
87,1|C170,117.3121,236.2355,120.2121,239.5865,0,0,0,0,0,0,0.097179
88,1|C171,121.3251,236.2355,124.2251,239.5865,0,0,0,0,0,0,0.097179
89,1|C172,125.8471,236.2355,128.7471,239.5865,0,0,0,0,0,0,0.097179
90,1|C173,114.1156,231.584,117.4666,234.484,0,0,0,0,0,0,0.097179
91,1|C174,119.3476,231.584,122.6986,234.484,0,0,0,0,0,0,0.097179
92,1|C175,125.0876,231.584,128.4386,234.484,0,0,0,0,0,0,0.097179
93,1|C176,114.3486,224.3586,116.1656,227.6874,0,0,0,0,0,0,0.060484
94,1|C177,116.6346,224.6126,118.4516,227.9413,0,0,0,0,0,0,0.060482
95,1|C178,119.4286,224.8666,121.2456,228.1954,0,0,0,0,0,0,0.060484
96,1|C179,122.7306,225.1206,124.5476,228.4494,0,0,0,0,0,0,0.060484
97,1|C18,19.79071,282.9293,22.95771,285.3627,0,0,0,0,0,0,0.077066
98,1|C180,114.3486,219.4316,116.1656,222.7604,0,0,0,0,0,0,0.060484
99,1|C181,116.6346,219.4316,118.4516,222.7604,0,0,0,0,0,0,0.060484
100,1|C182,119.4286,219.4316,121.2456,222.7604,0,0,0,0,0,0,0.060484
101,1|C183,122.7306,219.4316,124.5476,222.7604,0,0,0,0,0,0,0.060484
102,1|C184,112.6017,216.0725,115.9304,217.8895,0,0,0,0,0,0,0.060482
103,1|C185,117.5297,216.0725,120.8584,217.8895,0,0,0,0,0,0,0.060482
