,Unnamed: 0,x,y,type,side,board,comp_idx
0,0,11.5,7.5,2,0,0,[0]
1,1,51.28,109.5,2,0,0,[1]
2,2,43.065,19.925,1,0,0,"[75, 77, 9, 65, 26, 29, 40, 19, 24, 44, 48, 14]"
3,3,34.345,23.455,1,0,0,"[56, 32, 18, 60, 50, 52]"
4,4,13.085,17.515,0,0,1,"[23, 69, 64, 72, 66, 34, 84, 45, 6, 12, 78, 22, 13, 55, 81, 58, 21]"
5,5,12.875,53.255,0,0,1,"[10, 8, 30, 61, 17, 16, 35, 83]"
6,6,25.735,67.405,0,0,0,"[53, 54]"
7,7,43.67,62.46,0,0,0,"[33, 62, 63, 46, 25, 42, 73, 39, 3]"
8,8,38.425,95.39,0,0,1,"[11, 79, 80, 49, 51, 7, 67, 57, 68, 76, 5, 27, 74, 37]"
9,9,25.18,102.535,0,0,0,"[71, 28, 47, 70]"
10,10,6.31616,86.2949,0,1,0,"[15, 36, 59, 82, 4, 2, 20, 41, 43, 31, 38]"
