,name,tl_x,tl_y,br_x,br_y,type,center,side,board,offset_x,offset_y,time
0,top-left,6.00,10.00,11.00,15.00,2,1,0,0,0,0,0.25
1,bottom-right,161.00,131.76,166.00,136.76,2,1,0,0,0,0,0.25
2,0fWe2H,52.24,114.07,66.35,116.21,0,0,0,0,0,0,0.301954
3,x0mMrq,137.98,31.69,145.15,36.61,0,0,0,0,0,0,0.352764
4,XZR6Uq,57.93,124.76,58.99,135.96,0,0,0,0,0,0,0.11871999999999999
5,a596xg,7.74,110.37,17.73,111.66,0,0,0,0,0,0,0.128871
6,mK1kXH,0.00,84.73,6.86,94.66,1,0,0,0,0,0,0.681198
7,AtyAQ8,50.81,50.46,57.64,54.14,1,0,0,0,0,0,0.251344
8,YcoboJ,105.36,124.76,115.37,127.49,0,0,0,0,0,0,0.273273
9,NaN5wT,160.00,0.00,169.79,1.92,0,0,0,0,0,0,0.18796799999999997
10,X5ZcpF,92.59,83.98,99.23,86.60,0,0,1,0,0,0,0.17396799999999998
11,mPxabR,41.84,25.25,42.86,31.81,0,0,0,0,0,0,0.066912
12,vH5mn2,127.89,124.76,129.67,136.59,0,0,1,0,0,0,0.210574
13,vRUXUy,146.92,33.16,148.01,41.15,0,0,0,0,0,0,0.08709100000000002
14,QxOC9f,145.03,123.58,146.06,128.60,0,1,0,0,0,0,0.051705999999999995
15,ur2h3L,140.87,10.78,142.03,25.50,0,0,0,0,0,0,0.170752
16,LQ1vem,16.08,60.59,17.09,61.89,0,0,0,1,0,0,0.013130000000000001
17,L1LELR,30.66,36.40,43.95,42.94,0,0,0,0,0,0,0.8691659999999999
18,VHl61T,98.11,124.76,104.42,126.81,0,0,0,0,0,0,0.12935499999999997
19,dr9hLd,10.07,100.69,14.96,103.64,0,0,0,0,0,0,0.144255
20,xycJsM,151.77,0.00,158.54,7.25,0,0,0,0,0,0,0.49082499999999996
21,osU60p,95.44,124.76,97.79,125.96,1,0,0,0,0,0,0.0282
22,8CcGsv,41.11,124.76,45.81,137.06,0,0,0,0,0,0,0.5781000000000001
