,Unnamed: 0,x,y,type,side,board,comp_idx
0,0,13.5,15.5,2,0,0,[0]
1,1,183.5,113.31,2,0,0,[1]
2,2,181.581,76.83,1,1,0,"[164, 55, 205, 43, 79, 297, 88, 276, 73, 175, 65, 161, 58, 231, 91, 232, 184, 78, 171]"
3,3,161.945,96.11,1,0,0,"[159, 64, 35, 74, 181, 52, 283, 155, 214, 227, 10, 287, 178]"
4,4,189.19,96.37,0,0,0,"[11, 93, 296, 257, 4, 148, 300, 289, 110, 38]"
5,5,153.755,90.435,0,0,0,"[70, 154, 213, 66, 272]"
6,6,124.855,91.57,0,0,0,"[68, 208, 222, 123, 163, 295, 124, 135]"
7,7,143.046,68.1149,0,1,0,"[121, 60, 57, 302, 241, 108, 151, 193, 120, 115, 59, 167, 157, 204, 234, 187, 2]"
8,8,165.215,53.91,0,0,0,"[128, 76, 168, 259, 8, 236, 9, 104, 18, 279]"
9,9,189.995,54.45,0,0,1,"[150, 75, 255, 69, 253, 203]"
10,10,183.16,18.955,0,0,0,"[169, 6, 303, 190, 258, 275, 256, 215, 243, 299, 162, 26, 218, 63, 207]"
11,11,155.6,16.785,0,0,0,"[71, 131, 143, 5, 206, 286, 37, 47, 22, 242, 87, 107, 180, 172, 280]"
12,12,141.715,38.365,0,0,0,"[141, 21, 189, 225, 228, 229, 198]"
13,13,132.2,16.96,0,0,0,"[238, 51, 44, 111, 142, 220, 268, 83, 33, 165, 244, 29, 288, 235, 267, 186, 282, 41]"
14,14,105.565,18.57,0,0,0,"[103, 28, 281, 217, 239, 290, 97, 248, 179, 94, 101, 291, 114, 305, 92, 278, 200, 176, 201]"
15,15,83.87,19.23,0,0,0,"[177, 113, 112, 77, 67, 196, 230]"
16,16,64.835,16.19,0,0,0,"[17, 105, 293, 80, 185, 269, 116, 211, 138, 273, 192, 158]"
17,17,38.46,10.845,0,0,0,"[36, 284, 226]"
18,18,9.33,6.275,0,0,0,"[134, 49, 89]"
19,19,14.4138,31.31,0,1,1,"[56, 48, 25, 307, 109, 182, 245, 197, 149, 129]"
20,20,31.37,35.37,0,0,0,"[32, 262, 174, 31]"
21,21,9.87,64.815,0,0,0,"[85, 46, 221, 237, 160, 133]"
22,22,35.025,67.87,0,1,0,"[117, 310, 298, 140, 285, 100, 86, 90, 271, 50, 308, 27, 224, 95, 254]"
23,23,55.12,62.84,0,0,0,"[62, 13, 251, 23, 210, 156, 270, 136, 42]"
24,24,62.32,43.74,0,0,0,"[96, 98, 16, 152, 233]"
25,25,81.31,43.215,0,0,0,"[126, 153, 54, 216]"
26,26,102.68,40.04,0,0,0,[122]
27,27,116.715,53.405,0,0,0,"[39, 194, 137, 188, 246, 294, 119, 266, 265, 249]"
28,28,103.11,70.435,0,0,0,"[263, 7, 219, 132, 19]"
29,29,82.12,69.315,0,0,0,"[14, 127, 12, 292, 264, 15, 144, 252, 277, 223, 212, 170, 274]"
30,30,93.82,96.72,0,0,0,"[20, 147, 61, 34, 306]"
31,31,69.03,97.735,0,0,0,"[30, 53, 183, 146, 250, 139, 166, 102, 199, 118, 106, 130, 24, 3, 240, 301]"
32,32,42.915,95.225,0,0,0,"[261, 82, 81, 99, 202, 191, 173, 125, 209, 84, 45]"
33,33,14.385,96.26,0,0,0,"[247, 304, 145, 309, 195, 72, 40, 260]"
