,tl_x,tl_y,br_x,br_y,type,time
0,4.00,18.00,9.00,23.00,2,0.25
1,70.51,210.37,73.64,221.81,0,0.35807199999999995
2,70.48,20.33,77.62,21.79,0,0.10424399999999999
3,260.07,160.22,261.90,161.25,0,0.018849
4,70.31,70.72,71.74,72.61,0,0.027026999999999995
5,420.21,270.64,425.31,271.89,0,0.06375
6,0.27,190.10,27.11,219.60,0,7.9178
7,190.43,60.51,191.49,63.54,0,0.032118
8,70.52,160.89,73.97,162.22,0,0.04588500000000001
9,230.06,270.44,231.06,271.45,0,0.0101
10,100.27,260.26,103.92,272.03,0,0.42960499999999996
11,200.59,170.73,204.96,181.98,0,0.49162500000000003
12,10.10,110.20,14.73,119.19,0,0.41623699999999997
13,190.80,20.29,198.60,24.66,0,0.34086
14,140.56,220.63,154.57,223.88,0,0.455325
15,110.71,50.84,116.71,62.04,0,0.6719999999999999
16,140.91,170.51,143.43,173.83,0,0.083664
17,150.67,130.46,155.13,143.40,0,0.577124
18,300.74,250.63,303.77,251.96,0,0.040298999999999995
19,0.13,70.06,12.84,77.60,0,0.9583340000000001
20,40.06,120.60,52.22,123.63,0,0.368448
21,290.66,40.91,293.91,42.10,0,0.038674999999999994
22,250.32,180.18,257.77,189.71,0,0.709985
23,320.95,140.94,330.21,144.33,0,0.313914
24,180.70,70.79,182.96,79.75,0,0.202496
25,90.83,50.83,98.24,56.18,0,0.396435
26,20.83,160.49,33.11,171.57,0,1.360624
27,220.87,110.71,227.44,114.36,0,0.239805
28,430.66,30.09,474.12,55.85,0,11.195296
29,330.82,120.33,332.85,127.16,0,0.138649
30,180.82,160.25,190.16,169.49,0,0.8630160000000001
31,320.84,70.68,326.65,79.41,0,0.507213
32,50.36,10.53,63.03,14.10,0,0.45231899999999997
33,440.74,300.33,443.23,305.03,0,0.11703000000000001
34,310.67,240.92,313.40,242.51,0,0.043407
35,270.24,300.46,271.74,311.65,0,0.16785
36,260.69,200.75,267.56,202.54,0,0.122973
37,410.33,140.39,412.84,150.57,0,0.25551799999999997
38,380.57,60.79,384.56,64.91,0,0.164388
39,210.65,240.28,218.46,247.47,0,0.561539
40,140.80,200.19,149.02,214.46,0,1.172994
41,0.12,210.37,1.41,221.49,0,0.143448
42,380.23,270.46,383.53,276.10,0,0.18611999999999998
43,350.41,300.93,358.44,308.92,0,0.641597
44,240.66,190.81,250.66,203.78,0,1.2970000000000002
45,180.38,80.26,184.04,84.65,0,0.16067399999999998
46,140.93,120.49,154.39,126.05,0,0.7483759999999999
47,220.16,160.78,233.21,166.25,0,0.713835
48,320.89,240.15,332.04,253.05,0,1.43835
49,200.88,190.87,206.27,191.93,0,0.057134
50,90.64,180.65,94.79,182.60,0,0.08092500000000001
51,150.94,270.40,151.95,274.93,0,0.045753
52,90.82,90.91,93.09,92.34,0,0.032461
53,190.64,70.19,195.93,71.69,0,0.07935
54,290.70,150.55,301.57,151.59,0,0.113048
