,tl_x,tl_y,br_x,br_y,type,time
0,311.00,3.00,316.00,8.00,1,0.25
1,300.30,80.38,301.37,81.74,0,0.015
2,287.46,0.00,290.37,1.40,0,0.041
3,270.28,130.40,283.03,131.40,0,0.128
4,219.06,109.76,229.72,124.29,0,1.549
5,252.58,136.20,253.58,140.35,0,0.042
6,48.50,240.63,58.60,245.36,0,0.478
7,22.64,36.54,35.06,37.91,0,0.17
8,80.35,180.68,81.61,184.00,0,0.042
9,72.31,243.33,73.56,245.30,0,0.025
10,234.38,47.34,241.34,54.55,0,0.502
11,0.00,274.41,3.24,278.95,0,0.147
12,193.84,160.64,195.22,163.76,0,0.043
13,103.44,165.97,106.08,174.80,0,0.233
14,140.74,190.30,152.14,196.25,0,0.678
15,1.20,258.50,4.05,259.55,0,0.03
16,170.28,70.21,177.82,72.92,0,0.204
17,56.01,20.11,66.96,33.96,0,1.517
18,30.54,90.80,38.31,92.33,0,0.119
19,169.15,121.54,173.44,122.56,0,0.044
20,170.35,205.22,172.78,211.37,0,0.149
21,227.14,82.31,229.22,92.06,0,0.203
22,120.15,50.89,129.37,53.85,0,0.273
23,73.69,220.41,83.02,221.62,0,0.113
24,251.26,7.56,252.29,10.89,0,0.034
25,32.89,17.65,41.30,26.09,0,0.71
26,189.99,167.68,192.75,174.44,0,0.187
27,38.95,194.12,45.78,200.94,0,0.466
28,134.32,187.22,139.82,194.88,0,0.421
29,302.00,261.84,316.03,263.30,0,0.205
30,185.63,89.53,187.34,99.99,0,0.179
31,242.96,30.10,252.90,31.10,0,0.099
32,85.81,201.88,89.44,208.93,0,0.256
33,256.93,21.84,271.30,30.09,0,1.186
34,107.27,235.13,110.84,238.00,0,0.102
35,25.43,54.13,35.17,65.55,0,1.112
36,64.36,230.65,66.48,234.95,0,0.091
37,150.21,270.75,163.06,284.67,0,1.789
38,140.83,120.60,153.18,121.65,0,0.13
39,165.16,6.63,166.26,14.85,0,0.09
40,210.50,213.99,221.68,216.90,0,0.325
41,173.44,0.00,174.55,1.08,0,0.012
42,152.32,167.75,156.36,178.52,0,0.435
43,210.50,150.58,219.85,155.19,0,0.431
44,264.72,182.69,266.92,184.73,0,0.045
45,20.14,30.77,21.64,33.09,0,0.035
46,242.48,0.00,244.71,4.56,0,0.102
47,189.75,205.79,193.66,206.79,0,0.039
48,120.31,16.65,121.63,18.70,0,0.027
49,259.93,96.08,262.41,99.92,0,0.095
50,190.58,240.66,192.93,243.95,0,0.077
51,116.20,97.36,126.25,98.56,0,0.121
52,156.94,235.31,159.14,236.94,0,0.036
53,162.13,27.85,174.44,37.29,0,1.162
54,230.84,160.58,231.93,172.51,0,0.13
55,302.00,279.36,307.73,281.04,0,0.096
56,270.34,60.63,279.54,61.70,0,0.098
57,284.70,281.13,291.81,287.14,0,0.427
58,24.05,193.16,27.95,195.28,0,0.083
59,114.27,243.72,127.02,253.35,0,1.228
60,235.13,119.35,249.72,131.77,0,1.812
61,93.39,214.40,94.82,221.40,0,0.1
62,213.53,58.93,214.83,69.92,0,0.143
63,142.74,162.74,153.63,163.84,0,0.12
64,120.67,10.13,123.69,16.50,0,0.192
65,204.27,84.08,205.76,85.11,0,0.015
66,155.35,24.35,156.36,30.27,0,0.06
67,250.23,80.88,254.55,83.98,0,0.134
68,95.58,65.07,100.23,79.94,0,0.691
69,150.77,10.32,154.90,17.28,0,0.287
70,227.91,154.77,229.92,162.02,0,0.146
71,161.47,201.75,164.46,213.46,0,0.35
72,217.55,216.94,223.22,218.02,0,0.061
73,215.53,81.73,219.24,82.83,0,0.041
74,302.00,181.94,315.32,194.09,0,1.618
75,180.57,210.37,191.78,211.89,0,0.17
76,72.19,228.94,76.55,239.25,0,0.45
77,80.26,240.80,81.89,241.84,0,0.017
78,153.95,212.15,156.14,214.50,0,0.051
79,134.94,152.78,141.60,164.80,0,0.801
80,73.62,257.99,77.94,267.73,0,0.421
81,130.76,0.00,132.35,1.20,0,0.019
82,133.58,218.72,148.06,233.70,0,2.169
83,110.10,80.94,119.73,85.76,0,0.464
84,139.55,0.00,141.49,4.66,0,0.09
85,43.70,273.03,51.10,275.53,0,0.185
86,160.48,174.16,163.55,176.26,0,0.064
87,80.91,280.08,86.12,291.64,0,0.602
88,127.64,182.22,129.40,192.95,0,0.189
89,297.16,281.13,302.61,285.45,0,0.235
90,75.58,217.50,87.74,218.85,0,0.164
91,9.98,134.14,17.05,137.27,0,0.221
92,0.45,80.05,5.06,85.67,0,0.259
93,248.52,199.19,253.23,200.20,0,0.048
94,220.85,60.44,235.14,63.77,0,0.476
95,70.88,20.44,73.42,21.53,0,0.028
96,160.51,100.17,168.98,102.18,0,0.17
97,60.71,40.39,74.25,54.31,0,1.885
98,148.21,206.25,158.90,207.28,0,0.11
99,190.15,144.80,193.78,145.94,0,0.041
100,0.10,210.78,8.38,217.88,0,0.588
101,30.67,130.84,31.74,132.64,0,0.019
102,41.10,35.64,49.18,49.77,0,1.142
103,93.82,261.62,95.15,262.85,0,0.016
104,77.18,58.37,85.76,61.80,0,0.294
105,201.79,0.00,204.38,1.65,0,0.043
106,111.18,0.00,113.82,2.52,0,0.067
107,39.41,232.75,40.66,234.29,0,0.019
108,258.27,0.00,259.65,5.71,0,0.079
109,70.96,94.45,81.47,95.95,0,0.158
110,10.05,90.88,11.75,101.37,0,0.178
111,250.50,190.79,255.03,192.09,0,0.059
112,33.07,241.43,34.08,248.59,0,0.072
113,26.86,0.00,36.96,1.16,0,0.117
114,120.54,220.92,124.54,226.82,0,0.236
115,8.49,34.16,12.05,35.50,0,0.048
116,16.50,239.84,19.34,248.77,0,0.254
117,102.24,239.69,106.96,240.93,0,0.059
118,159.54,177.30,165.37,178.62,0,0.077
119,0.00,191.88,5.00,194.63,0,0.138
120,280.39,170.48,292.60,175.56,0,0.62
121,164.36,228.34,171.24,239.26,0,0.751
122,164.32,182.12,170.76,184.10,0,0.128
123,20.87,68.25,24.27,71.85,0,0.122
124,180.88,220.67,190.28,230.21,0,0.897
125,24.05,218.76,34.04,232.29,0,1.352
126,35.00,3.50,37.03,15.55,0,0.245
127,230.25,210.32,233.54,216.45,0,0.202
128,14.65,179.01,15.89,180.63,0,0.02
129,208.72,47.36,211.60,49.21,0,0.053
130,157.59,124.42,159.34,126.09,0,0.029
131,23.71,257.64,34.64,261.46,0,0.418
132,151.96,198.90,153.01,201.53,0,0.028
133,65.25,256.68,68.72,260.09,0,0.118
134,120.45,270.73,127.75,278.75,0,0.585
135,128.20,4.28,132.27,14.55,0,0.418
136,90.14,50.86,93.99,52.48,0,0.062
137,154.58,219.30,160.10,223.06,0,0.208
138,181.12,104.18,182.99,107.83,0,0.068
139,201.71,157.11,203.48,163.27,0,0.109
140,89.41,238.19,92.73,247.46,0,0.308
141,223.75,163.11,225.43,164.25,0,0.019
142,268.17,135.06,282.99,143.80,0,1.295
143,282.46,90.14,290.09,100.26,0,0.772
144,110.81,191.95,118.05,195.78,0,0.277
145,221.06,4.45,222.09,6.97,0,0.026
146,215.69,101.23,220.17,106.21,0,0.223
147,170.79,260.36,182.37,270.84,0,1.214
148,32.78,248.87,34.91,251.38,0,0.053
149,56.52,61.65,59.02,65.01,0,0.084
150,270.24,114.82,283.90,119.92,0,0.697
151,160.12,80.70,169.13,89.19,0,0.765
152,198.77,235.44,206.43,236.45,0,0.077
153,70.66,80.86,71.70,87.19,0,0.066
154,302.00,276.24,308.28,277.75,0,0.095
155,110.46,209.89,116.22,215.49,0,0.323
156,57.82,246.27,59.64,251.72,0,0.099
157,139.21,167.27,140.64,169.28,0,0.029
158,59.72,279.48,71.73,280.98,0,0.18
159,45.39,9.06,53.32,12.75,0,0.293
160,150.92,40.10,158.98,41.34,0,0.1
161,210.70,30.45,214.22,34.66,0,0.148
162,98.44,222.36,106.37,225.55,0,0.253
163,30.71,70.19,31.79,71.87,0,0.018
164,277.32,110.99,280.50,112.00,0,0.032
165,42.78,225.88,50.05,226.90,0,0.074
166,208.00,218.42,215.77,229.73,0,0.879
167,180.79,50.39,188.55,51.96,0,0.122
168,15.80,10.59,18.21,22.20,0,0.28
169,160.89,50.29,164.61,53.62,0,0.124
