,Unnamed: 0,x,y,type,side,board,comp_idx
0,0,396.5,185.15,2,0,0,[0]
1,1,364.795,172.765,0,0,0,"[6, 28, 64, 43, 94, 9, 42, 228, 45]"
2,2,322.575,181.865,0,0,0,"[7, 41, 163, 208, 133, 85, 61, 177, 123]"
3,3,290.76,166.47,0,0,0,"[224, 206, 36, 137]"
4,4,242.02,177.365,0,0,0,"[172, 89, 78, 79, 117, 195, 74, 149, 13, 191]"
5,5,211.44,175.2,0,0,0,"[164, 103, 171, 167]"
6,6,168.42,187.62,0,0,0,"[118, 24, 11, 122, 12]"
7,7,122.555,182.99,0,0,0,"[15, 83, 99, 160, 210, 82]"
8,8,72.825,172.285,0,0,0,"[8, 136, 19, 97, 51, 63, 16, 220]"
9,9,27.16,177.78,0,0,0,"[218, 158, 67, 35, 147, 68, 131]"
10,10,24.94,127.81,0,0,0,"[125, 77, 21, 189, 173, 53, 49]"
11,11,66.375,132.005,0,0,0,"[204, 23, 105, 142]"
12,12,114.52,124.745,0,0,0,"[185, 183, 112, 154, 221, 159, 84]"
13,13,92.575,81.085,0,0,0,"[207, 169, 95, 219, 109, 155, 65, 174, 106, 194]"
14,14,38.0,67.665,0,0,0,"[162, 180, 55, 107, 110, 32]"
15,15,1.29499,17.23,0,0,0,[3]
16,16,50.955,24.17,0,0,0,"[145, 181, 168, 54, 2, 62, 178, 119, 17, 100]"
17,17,91.175,33.875,0,0,0,"[37, 203, 56, 69, 138, 116, 27]"
18,18,149.23,22.87,0,0,0,"[179, 113, 59, 156, 120, 134, 140]"
19,19,191.4,24.04,0,0,0,"[14, 192, 44, 20, 213, 4, 98, 91, 190]"
20,20,153.5,73.745,0,0,0,"[129, 90, 211, 130, 150, 200, 58, 196, 5, 212, 227]"
21,21,162.92,113.2,0,0,0,"[18, 75, 39, 201, 226]"
22,22,184.655,131.5,0,0,0,"[22, 114, 222, 153, 80, 81, 152, 165, 199, 135]"
23,23,234.955,131.52,0,0,0,"[121, 34]"
24,24,252.15,111.835,0,0,0,"[157, 66, 30, 184]"
25,25,285.485,120.87,0,0,0,"[92, 151, 108, 139, 143, 146, 126, 33]"
26,26,326.64,101.73,0,0,0,"[188, 96, 223, 166, 60, 73, 124]"
27,27,372.875,121.675,0,0,0,"[182, 101, 46, 127, 31, 175, 71, 202]"
28,28,364.69,72.18,0,0,0,"[209, 193, 87, 88, 161]"
29,29,372.24,21.525,0,0,0,"[57, 214, 76, 72, 26, 25]"
30,30,327.69,17.465,0,0,0,"[216, 102, 48, 187, 176]"
31,31,311.095,63.385,0,0,0,"[128, 170, 144, 38, 111, 70, 52]"
32,32,262.555,21.105,0,0,0,"[215, 93, 205, 198, 50, 104, 225, 1]"
33,33,229.845,44.39,0,0,0,"[141, 197, 29, 217]"
34,34,211.32,82.195,0,0,0,"[132, 10, 86, 115, 40, 47, 186, 148]"
