,tl_x,tl_y,br_x,br_y,type,time
0,103.01,141.00,108.01,146.00,1,0.25
1,55.68,147.97,65.32,149.16,0,0.115
2,28.42,11.56,32.92,16.74,0,0.233
3,68.48,30.31,81.97,44.95,0,1.975
4,28.82,63.95,36.09,64.95,0,0.073
5,75.47,140.17,77.35,144.76,0,0.086
6,20.63,130.88,33.36,142.47,0,1.475
7,69.09,16.79,80.76,23.71,0,0.808
8,2.24,75.17,14.38,86.77,0,1.408
9,49.50,101.88,51.45,106.83,0,0.097
10,80.21,100.79,83.41,101.88,0,0.035
11,92.48,0.00,106.72,5.04,0,0.718
12,41.81,0.00,50.07,12.72,0,1.051
13,36.06,75.42,40.51,82.70,0,0.324
14,88.29,92.20,92.32,93.76,0,0.063
15,34.59,93.01,36.24,98.89,0,0.097
16,87.48,61.83,88.51,64.90,0,0.032
17,38.58,151.00,39.58,157.70,0,0.067
18,90.59,100.76,95.81,108.98,0,0.429
19,86.79,114.04,89.69,117.00,0,0.086
20,59.52,125.92,65.01,127.14,0,0.067
21,74.30,0.00,77.00,11.54,0,0.312
22,29.83,41.59,36.35,54.54,0,0.844
23,93.01,130.32,98.82,132.55,0,0.13
24,50.38,50.21,61.37,52.08,0,0.206
25,48.72,136.18,63.34,138.13,0,0.285
26,60.20,80.86,63.05,82.81,0,0.056
27,93.01,89.74,96.82,100.55,0,0.412
28,0.00,115.44,1.25,123.97,0,0.107
29,53.96,37.05,57.53,38.42,0,0.049
30,93.01,82.74,102.53,84.68,0,0.185
31,54.78,62.52,58.11,69.05,0,0.217
32,72.89,151.00,77.03,156.07,0,0.21
33,62.39,67.46,65.38,76.36,0,0.266
34,68.03,79.92,71.59,92.06,0,0.432
35,0.67,60.95,15.62,62.20,0,0.187
36,23.37,151.00,37.30,153.03,0,0.283
37,80.87,7.60,86.31,15.19,0,0.413
38,0.00,36.97,2.28,38.22,0,0.028
39,4.34,54.37,5.35,55.38,0,0.01
40,71.22,124.86,79.51,125.88,0,0.085
41,10.81,90.49,20.14,92.00,0,0.141
42,17.09,151.00,20.50,154.66,0,0.125
43,57.68,97.48,65.53,98.74,0,0.099
44,93.01,5.20,103.95,10.56,0,0.586
45,43.59,87.18,44.60,98.05,0,0.11
46,58.70,42.17,60.83,45.53,0,0.072
47,90.14,140.55,94.84,142.79,0,0.105
48,58.97,116.36,59.97,117.93,0,0.016
49,46.75,54.27,49.73,62.42,0,0.243
50,27.36,114.13,28.79,117.96,0,0.055
51,85.25,40.44,91.04,42.02,0,0.091
52,50.67,70.79,56.92,71.83,0,0.065
53,84.04,128.93,86.04,139.82,0,0.218
54,84.34,146.63,86.13,148.52,0,0.034
55,17.04,70.91,19.26,75.07,0,0.092
56,46.63,151.00,52.25,159.70,0,0.489
57,11.79,24.69,18.78,39.03,0,1.002
58,42.13,84.96,43.14,86.58,0,0.016
59,71.69,129.15,73.28,135.64,0,0.103
60,80.61,80.85,84.05,86.95,0,0.21
61,93.01,151.00,97.44,152.40,0,0.062
62,68.71,115.38,70.72,119.52,0,0.083
63,76.31,88.16,81.52,93.40,0,0.273
64,0.24,70.45,3.65,73.54,0,0.105
65,85.39,18.79,96.07,19.80,0,0.108
66,93.01,43.75,94.48,57.49,0,0.202
