,x,y,type,side,board,comp_idx
0,21.5,254.59,1,0,0,[0]
1,30.125,234.585,0,0,0,"[314, 1, 397, 190, 143, 412, 540, 398, 258, 296, 160, 386, 123, 187, 111, 35, 185, 78, 93, 188]"
2,29.74,177.25,0,0,0,"[152, 220, 70, 164, 268, 86, 199, 179, 533, 99, 393, 545, 83, 313, 475, 256, 276, 467, 171, 518, 482]"
3,28.45,134.245,0,0,0,"[125, 142, 178, 59, 226, 189, 360, 478, 257, 231, 458, 49, 499, 479, 249, 18, 514, 57, 424, 464]"
4,29.92,84.395,0,0,0,"[54, 128, 395, 270, 402, 137, 380, 293, 235, 255, 366, 201, 52, 26, 344, 414, 260, 68, 238, 96, 277, 30, 536, 60, 115, 224, 79, 105, 10, 504, 169, 241, 297, 506, 441, 209]"
5,28.565,29.8,0,0,0,"[290, 64, 330, 321, 40, 491, 382, 13, 263, 98, 323, 456, 107, 328, 442, 460, 229, 511, 365, 503, 134, 120, 37, 44, 390, 529, 333, 507, 76, 71, 285]"
6,77.155,30.71,0,0,0,"[463, 159, 391, 100, 403, 534, 108, 267, 9, 434, 372, 150, 528, 400, 140, 544, 301]"
7,86.605,79.025,0,0,0,"[3, 375, 532, 139, 373, 289, 56, 493, 17, 306, 492, 451, 90, 426, 50, 472, 170, 158, 356]"
8,88.155,125.51,0,0,0,"[336, 161, 53, 89, 531, 166, 259, 305, 443, 275, 425, 454, 341, 378]"
9,76.67,178.42,0,0,0,"[498, 265, 153, 308, 180, 116, 419, 212, 300, 432, 6, 485]"
10,88.225,235.545,0,0,0,"[29, 496, 428, 2, 552, 459, 213, 411, 500, 149, 427, 248, 34, 165, 121, 141, 286, 550, 444, 243, 28]"
11,137.76,232.8,0,0,0,"[505, 43, 148, 446, 85, 404, 104, 291, 144, 132, 423, 517, 352, 94, 112, 65, 223, 392, 210, 194, 389, 22, 315, 549, 309, 383, 541, 216]"
12,181.105,229.54,0,0,0,"[51, 8, 246, 342, 362, 236, 489, 415, 77, 538, 371, 272, 548, 495]"
13,227.205,226.615,0,0,0,"[354, 450, 524, 233, 502, 15, 95, 135, 355, 433, 312, 124]"
14,287.055,235.255,0,0,0,"[88, 455, 162, 480, 331, 384, 494, 73, 431, 145, 14, 457, 522, 262, 440, 155, 211, 483, 418, 230]"
15,290.605,180.54,0,0,0,"[80, 512, 20, 163, 222, 377, 195, 279, 114, 476, 126, 31, 33, 146, 488, 401, 39, 348, 374, 129, 324]"
16,287.015,135.285,0,0,0,"[302, 287, 542, 343, 465, 193, 405, 453, 250, 172]"
17,291.73,83.39,0,0,0,"[281, 508, 175, 239, 347, 409, 278, 487, 381, 72, 21, 84, 202, 471, 357, 447, 232, 106]"
18,291.84,28.725,0,0,0,"[316, 539, 12, 379, 326, 19, 103, 282, 133, 295, 240, 186, 92, 75, 519, 182, 481, 25, 138, 207, 430, 127, 370, 271, 38, 228, 203, 436, 264, 439]"
19,231.375,28.31,0,0,0,"[45, 406, 387, 269, 87, 420, 167, 346, 204, 361, 266, 501, 510, 74, 438, 394, 551, 154, 219, 318, 537, 452, 535, 407, 523]"
20,232.84,72.225,0,0,0,"[237, 91, 462, 304, 461, 136, 473, 4, 520, 334, 41, 477, 174, 410]"
21,228.61,100.47,0,0,0,"[311, 332, 320, 24, 408, 252, 183, 205, 253, 55, 247]"
22,236.29,167.82,0,0,0,"[322, 227, 225, 147, 251, 234, 82, 437, 429, 200, 385, 547, 274, 497, 546, 283, 191, 310, 46, 81, 516]"
23,184.05,177.505,0,0,0,"[97, 67, 367, 173, 359, 327, 208, 5, 196, 292, 61, 122, 335, 130, 298, 217, 338, 340, 156, 7]"
24,188.625,141.805,0,0,0,"[294, 101, 319, 242, 254, 118, 369, 368, 157]"
25,170.2,109.935,0,0,0,"[388, 110, 197, 27, 299, 58, 66, 177, 214, 526, 513, 221, 42, 32, 184, 176, 364, 151, 102, 339]"
26,139.205,86.425,0,0,0,"[23, 543, 474, 181, 69, 261, 317, 363, 206, 337, 509, 245, 469, 521, 396, 490, 416, 417, 468, 117]"
27,146.0,157.3,0,0,0,"[168, 349, 16, 413, 553, 192, 198]"
28,123.21,184.91,0,0,0,"[445, 422, 515, 131, 325, 376, 288, 284, 421]"
29,137.875,27.99,0,0,0,"[470, 329, 307, 273, 484, 48, 280, 466, 303, 353, 435, 350, 399, 345]"
30,184.835,29.915,0,0,0,"[448, 215, 351, 113, 36, 47, 527, 62, 11, 486, 449, 218, 63, 119, 109, 530, 358, 525, 244]"
