,x,y,comp_idx
0,25.0,471.0,[0]
1,35.2,471.0,[335]
2,45.59,471.0,"[342, 128]"
3,55.86,471.0,[347]
4,71.13499999999999,471.0,[313]
5,95.51,471.0,[324]
6,95.84,465.18,"[81, 350]"
7,105.85,471.0,[4]
8,136.615,450.28,[352]
9,144.20999999999998,461.9,"[318, 367]"
10,147.72,439.58500000000004,[125]
11,168.52,452.07,"[21, 443, 282, 276, 330, 344, 362]"
12,176.26,449.93,"[303, 328]"
13,171.73,463.99,[148]
14,196.785,471.0,[133]
15,196.41,437.62,"[203, 449]"
16,212.01999999999998,422.885,[274]
17,201.38,412.2,"[312, 422, 420]"
18,215.44,405.5,"[327, 86, 5]"
19,211.235,377.27,[8]
20,225.47,374.85,"[412, 127]"
21,235.89,365.46,[40]
22,251.36,342.6,[230]
23,241.215,338.375,[399]
24,226.61,333.02,"[316, 240, 337, 204]"
25,211.48,342.51,[105]
26,235.88,315.56,"[369, 145, 281, 388]"
27,231.83,303.94,"[65, 123, 116, 48, 119, 351, 61, 186, 323, 146, 255, 395, 34, 233]"
28,213.33499999999998,293.445,[9]
29,207.57,279.815,[90]
30,195.38,285.78,"[248, 201, 161, 131]"
31,201.38,259.18,"[375, 27, 404, 33]"
32,198.41,250.03,"[135, 304, 264, 195, 165, 164, 64]"
33,215.42000000000002,235.1,[251]
34,232.07,222.29,"[311, 317]"
35,222.96,214.68,[358]
36,230.01,203.66,"[25, 92]"
37,230.87,198.27,"[336, 71, 228, 59, 403, 80, 295, 10, 147, 7, 376, 2, 298]"
38,234.15,179.38,[294]
39,253.11,191.04,"[356, 296, 405, 212, 427]"
40,251.69,201.2,[229]
41,276.65,184.2,"[396, 112, 55, 332, 360, 266, 35, 190]"
42,293.225,184.115,[385]
43,291.81,176.07,[87]
44,302.485,175.835,[85]
45,313.57,197.07,"[231, 140, 237, 77, 265, 58]"
46,328.0,182.31,"[18, 189, 428, 197, 30, 167]"
47,328.0,175.35,[67]
48,305.26,135.74,"[37, 211, 329, 406, 169, 11]"
49,285.77,155.39,"[54, 357]"
50,275.44,135.16,"[287, 156, 272, 22, 29, 174, 301, 113]"
51,268.195,132.2,[309]
52,280.51,111.195,[117]
53,275.4,85.25999999999999,[220]
54,301.885,80.85,[353]
55,328.0,75.59,"[166, 289]"
56,325.32,105.08,"[136, 387, 56]"
57,325.17,115.58,[299]
58,253.665,110.9,[368]
59,235.24,105.53,"[158, 206]"
60,215.735,105.035,[134]
61,185.59,95.21,"[278, 437, 191, 109]"
62,161.81,71.8,[256]
63,145.72,45.28,"[53, 439, 280, 354, 390]"
64,125.73,65.18,"[259, 435, 124, 172]"
65,105.67,75.82,[45]
66,75.41,85.4,[121]
67,80.99000000000001,110.45,[130]
68,54.55,124.72,[288]
69,35.79,125.36,[88]
70,25.4,135.16,"[392, 257]"
71,25.55,85.27000000000001,[26]
72,25.87,75.9,"[150, 241, 414, 224]"
73,35.63,35.49,"[97, 149, 319, 170, 373, 111]"
74,34.5,25.0,[69]
75,45.59,25.89,[310]
76,55.510000000000005,45.239999999999995,[413]
77,75.64,25.18,"[144, 57]"
78,185.94,25.9,"[334, 215, 20, 143, 47]"
79,222.29000000000002,25.0,[418]
80,245.21,25.14,"[183, 177, 386, 445, 184]"
81,231.55,51.845,[222]
82,251.625,61.849999999999994,[273]
83,235.72,75.64,"[402, 444, 245, 440]"
84,305.25,45.34,[291]
85,328.0,35.83,[320]
86,205.05,145.76999999999998,"[432, 210, 106]"
87,175.34,165.52,"[400, 410, 247, 363, 75, 239, 12, 283, 434, 73]"
88,163.74,183.95999999999998,[433]
89,167.7,203.32,[93]
90,186.26,206.1,"[198, 163, 417, 333, 142, 254, 205, 284, 365, 194, 181, 214, 423, 448, 235, 46, 24, 13, 175]"
91,198.435,189.945,[246]
92,207.575,198.67000000000002,[308]
93,191.92,227.95,"[270, 383, 180, 94, 115, 68, 196, 216, 297, 39, 430, 139]"
94,176.99,235.20499999999998,[322]
95,173.87,225.28,[51]
96,162.71,245.905,[242]
97,165.11,265.32,"[129, 436, 398, 305, 16, 391]"
98,177.76999999999998,261.54499999999996,[236]
