,tl_x,tl_y,br_x,br_y,type,side,step,time
0,6.00,879.00,11.00,884.00,2,0,0,0.25
1,69.92,737.75,72.50,740.91,0,0,0,0.091
2,140.26,330.08,148.31,336.54,0,0,0,0.539
3,0.58,30.93,15.07,37.71,0,0,0,1.003
4,23.11,468.81,25.27,471.62,0,0,1,0.069
5,270.59,760.63,273.05,763.92,0,0,0,0.091
6,100.93,100.80,104.78,107.06,0,1,0,0.26
7,110.84,880.88,111.79,881.40,0,0,0,0.007
8,190.83,730.24,193.96,731.78,0,0,0,0.053
9,120.95,430.47,122.52,433.65,0,0,0,0.059
10,110.81,310.93,114.05,312.57,0,0,0,0.058
11,30.15,650.19,31.81,650.92,0,0,0,0.014
12,220.21,440.83,221.09,442.35,0,0,0,0.018
13,90.29,870.51,91.50,879.01,0,0,0,0.128
14,0.00,442.12,11.23,452.20,0,0,0,1.162
15,180.51,280.87,181.42,281.42,0,0,0,0.007
16,93.32,871.71,96.28,879.88,0,0,0,0.266
17,234.47,707.50,240.69,709.10,0,0,0,0.104
18,30.17,349.70,32.18,351.03,0,0,1,0.031
19,70.51,700.50,75.30,708.43,0,0,0,0.404
20,20.15,510.60,21.48,512.56,0,0,0,0.032
21,96.17,275.57,99.78,280.34,0,0,0,0.187
22,140.76,60.56,143.91,65.07,0,0,0,0.156
23,40.08,800.06,41.35,802.01,0,0,0,0.031
24,218.55,516.31,219.62,525.22,0,0,0,0.122
25,140.09,670.89,141.11,671.39,0,0,0,0.007
26,35.10,334.97,37.03,336.23,0,0,1,0.028
27,46.76,388.90,47.99,390.84,0,0,1,0.03
28,9.21,122.07,22.03,124.41,0,0,0,0.307
29,260.66,730.39,271.36,734.69,0,0,0,0.473
30,116.08,360.12,121.12,365.85,0,0,0,0.306
31,280.61,440.61,282.59,441.87,0,0,0,0.029
32,169.73,346.78,175.05,347.83,0,1,0,0.059
33,220.30,510.63,221.22,511.13,0,0,0,0.006
34,0.00,694.65,7.67,695.69,0,0,0,0.083
35,30.95,450.85,35.04,455.47,0,0,1,0.203
36,43.12,131.55,44.15,132.05,0,0,0,0.007
37,40.78,470.13,46.03,473.08,0,1,1,0.164
38,222.07,518.18,225.33,520.60,0,0,0,0.086
39,270.41,480.38,271.43,480.92,0,0,0,0.007
40,290.46,250.19,293.66,251.76,0,0,0,0.055
41,30.30,30.38,79.47,87.96,0,0,0,28.485
42,290.57,550.17,297.06,558.12,0,0,0,0.54
43,164.86,813.15,169.91,818.76,0,0,0,0.3
44,220.14,680.85,231.45,687.80,0,0,0,0.807
45,170.91,747.70,174.13,749.33,0,0,0,0.057
46,180.88,430.12,185.90,435.84,0,0,0,0.304
47,160.27,330.08,174.44,340.21,0,1,0,1.466
48,130.26,190.22,131.56,192.28,0,1,0,0.033
49,60.94,220.05,62.10,222.03,0,0,0,0.029
50,220.65,720.12,225.95,730.94,0,0,0,0.606
51,260.57,570.13,266.13,574.41,0,1,0,0.251
52,230.41,270.10,245.06,278.07,0,0,0,1.192
53,231.08,280.52,234.33,285.07,0,0,0,0.162
54,294.21,302.38,296.68,305.56,0,0,0,0.088
55,110.08,730.24,115.04,736.02,0,0,0,0.304
56,172.43,125.64,181.11,128.78,0,1,0,0.282
57,290.46,720.42,296.23,725.46,0,0,0,0.306
58,179.02,754.34,187.10,760.85,0,0,0,0.546
59,135.26,575.14,142.83,583.27,0,0,0,0.64
60,100.78,340.74,101.32,341.76,0,0,0,0.009
61,20.34,370.52,29.71,375.55,0,0,1,0.486
62,90.62,60.21,97.45,64.36,0,0,0,0.296
63,211.68,547.54,213.35,551.03,0,0,0,0.069
64,209.41,714.59,210.33,715.18,0,0,0,0.007
65,250.36,0.54,252.86,3.70,0,0,0,0.088
66,170.27,40.27,173.40,44.80,0,0,0,0.155
67,290.73,800.75,293.94,802.42,0,0,0,0.059
68,280.80,640.24,283.96,644.78,0,0,0,0.157
69,240.53,350.19,242.97,353.48,0,0,0,0.09
70,156.88,852.26,158.41,855.51,0,0,0,0.059
71,108.05,374.42,109.73,375.27,0,0,0,0.017
72,80.68,680.42,82.32,683.60,0,1,0,0.062
73,40.75,100.66,43.98,102.35,0,0,0,0.06
74,190.77,250.55,202.20,262.90,0,0,0,1.449
75,160.79,180.71,173.95,190.27,0,0,0,1.287
76,280.40,10.53,282.70,11.59,0,0,0,0.028
77,152.45,151.79,158.94,159.78,0,0,0,0.543
