,tl_x,tl_y,br_x,br_y,type,side,step,time
0,281.00,282.00,286.00,287.00,2,0,0,0.25
1,154.57,64.59,167.00,74.57,1,0,0,1.241
2,112.59,200.59,114.72,201.99,1,0,0,0.03
3,611.76,65.73,617.38,66.94,1,0,0,0.068
4,469.39,194.24,473.69,195.84,1,0,0,0.069
5,410.16,290.53,410.93,292.11,0,0,0,0.017
6,481.11,194.12,483.05,195.28,0,0,0,0.026
7,630.77,240.05,638.86,246.61,0,1,0,0.55
8,580.39,0.94,581.90,4.21,0,0,0,0.059
9,476.26,194.97,476.97,196.50,0,0,0,0.015
10,147.07,249.69,160.67,254.03,0,0,0,0.603
11,30.50,270.18,31.52,270.68,0,1,0,0.007
12,310.27,125.95,311.89,127.35,0,1,1,0.027
13,140.93,0.11,146.27,3.02,0,0,0,0.164
14,610.61,140.23,611.89,142.16,0,0,0,0.03
15,600.27,10.90,613.75,25.23,0,0,0,1.975
16,210.49,80.82,212.95,84.05,0,0,1,0.089
17,344.43,98.51,358.25,100.41,0,0,1,0.268
18,320.49,90.12,325.49,95.78,0,0,1,0.3
19,320.32,60.48,325.37,66.10,0,0,1,0.301
20,90.37,60.39,98.20,64.31,0,1,0,0.319
21,170.23,280.64,173.50,282.33,0,1,0,0.06
22,260.20,280.40,262.67,284.02,0,0,0,0.1
23,620.09,144.57,623.37,147.12,0,1,0,0.091
24,370.94,170.89,374.04,173.45,0,1,0,0.087
25,580.16,60.83,583.37,62.52,0,0,0,0.059
26,380.75,140.26,381.73,140.84,0,1,0,0.007
27,31.24,22.04,38.97,23.07,0,0,0,0.083
28,209.11,182.63,210.13,193.23,0,0,0,0.14
29,160.91,90.46,163.20,103.26,0,0,1,0.332
30,491.65,289.88,492.41,291.53,0,0,0,0.017
31,8.96,120.19,17.04,126.60,0,0,0,0.537
32,420.61,240.73,426.42,244.46,0,0,0,0.228
33,400.75,290.42,401.25,291.48,0,0,0,0.008
34,367.62,194.55,370.88,197.11,0,0,0,0.091
35,400.64,250.29,408.69,256.79,0,1,0,0.543
36,170.54,130.76,173.74,132.31,0,0,1,0.054
37,365.23,140.89,371.63,148.99,0,0,0,0.543
38,560.07,120.33,568.13,126.74,0,1,0,0.536
39,342.58,186.04,349.08,194.04,0,0,0,0.544
40,20.83,270.61,25.25,273.89,0,0,0,0.155
41,210.47,200.37,213.58,201.89,0,0,0,0.052
42,494.77,240.28,509.12,241.29,0,0,0,0.148
43,620.81,190.09,626.94,195.38,0,0,0,0.34
44,70.29,80.53,71.00,82.22,0,1,0,0.017
45,463.62,156.74,464.47,158.40,0,0,0,0.019
46,352.85,191.07,359.26,199.09,0,0,0,0.538
47,654.67,179.66,656.76,180.70,0,0,0,0.025
48,383.50,143.25,388.54,148.97,0,0,0,0.305
49,190.46,110.26,191.76,112.26,0,0,1,0.032
50,410.42,280.65,418.44,287.10,0,0,0,0.537
51,620.69,120.46,625.22,123.71,0,0,0,0.157
