,x,y,comp_idx
0,25.0,958.0,[0]
1,150.28,901.53,"[2, 50]"
2,720.78,863.51,"[1, 227, 280]"
3,757.1,364.68,"[4, 261]"
4,815.23,365.81,"[207, 3, 165]"
5,816.0,345.82,[287]
6,804.97,342.41999999999996,[415]
7,816.0,325.3,"[48, 193]"
8,775.71,285.58,[265]
9,805.08,255.75,[290]
10,785.79,195.24,"[133, 67, 167]"
11,735.91,195.16,[342]
12,710.875,221.15,[346]
13,685.64,235.52,[339]
14,661.45,251.18,[66]
15,672.155,281.39,[143]
16,685.78,275.2,[370]
17,695.05,325.86,"[259, 98, 203, 33]"
18,683.255,333.435,[244]
19,705.73,355.61,"[204, 110]"
20,705.52,375.7,[288]
21,732.035,421.365,[79]
22,745.46,435.21,[230]
23,765.92,425.65,[149]
24,775.84,445.83,[73]
25,816.0,445.71,[412]
26,816.0,435.35,[428]
27,816.0,495.61,[216]
28,816.0,545.9,"[402, 154]"
29,805.35,585.75,"[190, 281]"
30,805.17,635.23,[349]
31,795.25,655.47,"[111, 121, 276]"
32,777.665,637.725,[171]
33,735.78,645.41,[34]
34,735.92,625.7,[357]
35,745.26,595.23,"[45, 422, 127, 255]"
36,717.15,543.59,"[229, 369]"
37,692.9549999999999,520.165,[374]
38,705.27,507.40999999999997,[224]
39,705.27,505.86,[224]
40,715.79,485.77,[396]
41,763.7,500.97,"[268, 131]"
42,760.46,538.33,[213]
43,675.29,515.9200000000001,[183]
44,645.35,565.05,[431]
45,629.27,575.42,[334]
46,629.27,577.95,[334]
47,625.64,565.51,[294]
48,595.68,565.63,[269]
49,565.15,595.33,[303]
50,575.82,645.9,[102]
51,555.88,655.44,"[191, 92]"
52,565.23,695.16,[162]
53,551.72,742.52,[228]
54,521.9749999999999,771.615,[201]
55,513.755,774.895,[435]
56,497.16,766.38,[19]
57,476.14,744.615,[169]
58,455.5,735.07,[65]
59,435.07,735.92,"[91, 217]"
60,442.615,763.8,[263]
61,415.06,775.31,"[108, 343, 429]"
62,385.66,785.82,[355]
63,355.57,795.84,[375]
64,405.73,815.14,[289]
65,375.61,855.78,"[241, 160, 200]"
66,335.26,905.68,"[316, 39]"
67,325.47,955.61,"[347, 442, 401]"
68,375.08,958.0,[273]
69,395.83,945.06,[55]
70,415.13,925.27,"[22, 83, 197, 407]"
71,446.135,904.02,[331]
72,465.7,905.08,[122]
73,475.68,905.92,[141]
74,475.68,914.4,[141]
75,465.34,925.18,[100]
76,505.38,958.0,[236]
77,542.69,926.83,"[128, 27]"
78,555.93,885.89,[89]
79,556.09,885.89,[89]
80,563.13,883.46,"[371, 366]"
81,615.61,855.36,"[397, 353]"
82,645.24,845.42,[30]
83,633.39,892.99,[40]
84,635.86,935.18,[299]
85,625.87,935.61,[18]
86,615.41,958.0,[284]
87,665.16,958.0,"[9, 283]"
88,675.88,925.34,[406]
89,725.34,958.0,[440]
90,785.72,945.06,[301]
91,815.48,958.0,[361]
92,816.0,905.18,[384]
93,816.0,885.2,[44]
94,795.71,905.65,"[116, 391]"
95,816.0,825.61,"[242, 448, 95]"
96,785.22,775.37,"[5, 11]"
97,816.0,765.43,[379]
98,761.5,752.005,[221]
99,775.13,705.73,[243]
100,816.0,705.92,"[29, 109]"
101,816.0,690.33,[367]
102,715.41,785.44,[434]
103,705.69,805.39,[140]
