,tl_x,tl_y,br_x,br_y,type,side,step,time
0,6.00,9.00,11.00,14.00,2,0,0,0.25
1,129.77,246.41,134.03,255.77,1,0,0,0.399
2,283.56,618.73,288.94,626.70,1,0,0,0.429
3,439.18,498.36,453.43,505.94,1,0,0,1.08
4,342.98,502.30,343.98,507.85,1,0,0,0.056
5,320.67,497.65,325.09,500.78,0,0,0,0.148
6,503.55,91.62,504.30,93.31,0,0,0,0.018
7,104.86,438.87,125.93,478.94,0,0,0,8.561
8,320.65,189.76,340.88,231.94,0,0,1,8.66
9,268.92,412.29,269.96,413.36,0,0,0,0.014
10,261.55,215.86,302.77,255.88,0,0,1,16.616
11,471.61,386.15,473.66,397.22,0,0,0,0.26
12,268.80,262.31,276.83,268.82,0,0,1,0.542
13,327.56,164.27,328.85,166.32,0,0,1,0.033
14,471.49,589.15,474.69,591.67,0,0,0,0.088
15,372.65,475.61,374.64,476.95,0,0,0,0.031
16,209.94,418.64,212.56,420.09,0,1,0,0.042
17,458.44,634.21,462.97,637.33,0,1,0,0.151
18,26.56,353.14,33.09,361.19,0,0,0,0.55
19,65.85,255.88,69.85,257.76,0,0,0,0.081
20,144.73,549.58,146.07,551.53,0,1,0,0.032
21,72.06,163.86,72.66,164.93,0,1,1,0.01
22,457.76,59.58,459.31,62.74,0,0,0,0.058
23,118.57,26.41,119.86,28.46,0,0,0,0.033
24,398.90,295.01,452.20,352.27,0,0,0,30.691
25,366.37,621.41,367.57,623.41,0,0,0,0.03
26,314.67,353.38,317.09,356.60,0,0,0,0.088
27,104.78,85.11,105.61,86.81,0,0,1,0.019
28,294.81,91.78,296.41,95.01,0,0,0,0.061
29,497.72,236.22,498.45,237.76,0,0,0,0.016
30,46.10,490.38,47.79,491.11,0,0,0,0.015
31,255.11,556.23,256.65,559.43,0,1,0,0.059
32,392.40,20.42,393.31,20.92,0,1,0,0.006
33,490.93,301.55,495.38,304.82,0,0,0,0.155
34,216.46,92.26,263.94,133.17,0,0,1,19.547
35,85.76,124.42,90.32,127.53,0,0,1,0.151
36,377.61,520.60,386.93,533.26,0,1,0,1.218
37,405.39,464.32,408.59,465.97,0,0,0,0.058
38,216.14,334.27,218.62,337.45,0,0,0,0.088
39,13.78,301.50,16.99,304.03,0,1,0,0.089
40,225.01,410.03,226.62,410.74,0,0,0,0.014
41,406.65,98.63,408.61,99.92,0,0,0,0.029
42,52.98,150.97,61.06,157.52,0,0,0,0.549
43,393.10,562.51,394.45,564.60,0,0,0,0.034
44,451.11,261.80,458.95,262.82,0,0,0,0.083
45,457.80,92.03,464.26,106.53,0,0,0,0.98
46,144.72,261.80,149.68,267.42,0,0,0,0.296
47,332.86,442.33,337.39,445.48,0,0,0,0.152
48,170.42,314.55,172.12,315.44,0,0,0,0.018
49,268.49,53.27,274.70,64.53,0,0,0,0.733
50,425.72,484.14,426.22,485.05,0,0,0,0.007
51,504.10,451.71,507.21,456.19,0,0,0,0.153
52,288.07,451.75,329.42,477.14,0,0,0,10.575
53,151.12,13.42,154.33,18.00,0,0,0,0.161
54,297.26,405.84,299.65,409.32,0,0,0,0.094
55,503.48,601.62,510.00,609.72,0,0,0,0.552
56,347.36,52.82,348.12,54.50,0,0,0,0.018
57,6.92,236.08,8.20,238.09,0,0,0,0.032
58,288.05,150.77,289.13,151.78,0,0,0,0.014
59,137.90,562.94,141.01,567.48,0,0,0,0.155
60,131.16,470.87,133.18,472.02,0,0,0,0.027
61,329.40,555.22,330.28,556.89,0,0,0,0.02
62,183.69,627.70,186.91,629.24,0,0,0,0.054
63,176.64,78.62,185.70,91.29,0,1,1,1.186
64,7.34,314.02,63.62,338.91,0,0,0,14.083
65,483.36,121.35,486.49,125.78,0,0,0,0.152
66,118.42,183.24,121.65,185.65,0,0,1,0.085
67,118.48,399.55,120.16,400.26,0,0,0,0.014
68,177.04,458.51,177.86,460.19,0,0,0,0.019
69,396.19,144.98,398.26,146.21,0,0,0,0.029
70,484.23,373.48,489.16,379.15,0,0,0,0.297
71,151.12,301.21,152.40,303.21,0,0,0,0.032
72,176.58,281.63,179.82,286.16,0,1,0,0.16
73,262.35,183.26,268.81,191.21,0,0,1,0.537
74,470.82,509.96,472.67,511.37,0,1,0,0.03
75,0.00,87.43,2.05,88.69,0,0,0,0.03
76,186.52,588.14,196.60,589.14,0,0,0,0.104
77,219.42,78.01,219.92,79.10,0,0,1,0.009
78,39.96,412.32,42.11,414.82,0,0,0,0.061
79,510.01,393.03,513.22,397.51,0,0,0,0.157
80,170.52,117.93,172.08,121.55,0,0,1,0.067
81,20.38,569.65,60.42,610.57,0,0,0,16.507
82,471.09,451.21,476.12,454.74,0,0,0,0.188
83,340.08,255.05,340.58,256.00,0,0,0,0.008
84,228.94,33.52,240.23,38.39,0,0,1,0.564
85,59.75,46.59,61.27,47.30,0,0,0,0.013
86,26.27,170.46,31.95,175.49,0,0,0,0.301
87,85.72,314.70,86.88,316.73,0,0,0,0.03
88,337.29,457.19,338.30,464.50,0,1,0,0.096
89,261.83,458.18,263.85,459.49,0,1,0,0.03
90,347.34,458.26,352.30,464.01,0,0,0,0.302
91,333.62,660.59,336.09,663.80,0,0,0,0.089
92,418.75,588.83,426.76,595.34,0,1,0,0.541
93,65.44,654.60,68.56,657.07,0,0,0,0.084
94,13.66,137.96,22.82,152.52,0,0,0,1.377
95,72.24,314.38,80.62,316.52,0,1,0,0.186
96,457.70,477.59,458.54,479.13,0,0,0,0.018
97,425.81,543.47,437.22,546.51,0,0,0,0.356
98,491.11,431.93,497.58,434.73,0,0,0,0.19
99,207.13,243.96,208.64,244.83,0,0,1,0.016
100,368.48,113.31,370.15,114.08,0,0,0,0.015
101,224.26,295.03,225.32,295.62,0,0,1,0.008
102,379.24,418.47,380.97,424.86,0,0,0,0.13
103,13.36,399.04,16.60,401.48,0,0,0,0.086
104,425.65,138.20,427.30,141.44,0,0,0,0.063
105,262.40,464.31,266.89,467.51,0,0,0,0.153
106,118.28,196.66,119.80,199.84,0,0,0,0.058
107,268.34,176.56,270.36,177.83,0,0,1,0.029
108,190.42,196.61,191.21,198.31,0,0,0,0.019
109,247.20,161.02,252.14,166.63,0,0,1,0.294
110,203.46,7.36,209.95,15.45,0,0,0,0.549
111,131.01,138.06,140.41,150.02,0,0,1,1.16
112,314.70,523.48,319.79,529.10,0,0,0,0.303
113,399.60,59.16,409.76,72.59,0,0,0,1.405
114,248.93,379.76,252.08,382.34,0,0,0,0.089
115,0.48,464.30,2.58,465.37,0,0,0,0.026
116,307.39,399.55,310.53,402.05,0,1,0,0.086
117,425.22,471.37,426.48,473.30,0,0,0,0.03
118,445.37,627.83,453.30,634.24,0,0,0,0.528
119,411.93,556.14,412.46,557.06,0,0,0,0.008
120,26.57,444.91,27.66,445.45,0,0,0,0.008
121,209.71,372.91,212.93,374.46,0,0,0,0.055
122,392.72,295.01,397.18,298.30,0,0,0,0.157
123,46.19,529.80,49.29,542.56,0,0,0,0.434
124,235.51,405.50,237.94,408.66,0,0,0,0.086
