,x,y,comp_idx
0,25.0,25.0,[0]
1,137.06,254.71,"[1, 340, 975, 46]"
2,360.27,484.9,"[619, 441, 4, 779]"
3,430.39,489.32,"[37, 766, 224, 764, 3, 630]"
4,308.56,643.73,"[2, 657, 326, 223]"
5,326.41,639.75,"[460, 700, 91]"
6,302.06500000000005,619.28,[461]
7,312.325,593.83,[316]
8,338.55,608.53,"[958, 251, 635, 306, 494]"
9,365.22,607.01,"[942, 783, 25]"
10,372.15,587.43,[280]
11,372.19,567.81,"[415, 824, 43, 485, 359]"
12,347.83,563.005,[171]
13,350.345,546.22,[323]
14,365.31,535.46,"[869, 437, 239, 959, 300, 497]"
15,382.27,526.9300000000001,[36]
16,398.09,529.1700000000001,"[504, 756, 658]"
17,404.3,522.3299999999999,[567]
18,402.61,545.6,"[119, 583]"
19,437.22,535.62,"[153, 97, 647]"
20,454.23,552.1600000000001,[348]
21,453.64,556.77,[801]
22,479.28,543.97,[314]
23,479.28,541.7,[314]
24,493.0,534.96,[140]
25,471.745,510.66499999999996,[74]
26,459.7,498.47,[175]
27,481.55,494.59,"[147, 521, 127, 464]"
28,493.0,489.93,[850]
29,478.135,465.94,[905]
30,458.195,470.42499999999995,[709]
31,463.15,450.82,[233]
32,476.96,430.42,"[463, 758, 577, 509, 343, 262, 234, 212, 82, 98, 472]"
33,493.0,450.08,"[200, 362, 506, 222, 51, 880]"
34,441.365,429.845,[655]
35,411.31,424.62,"[988, 674, 135, 669]"
36,385.35,430.56,"[980, 634, 102, 271, 806, 166, 956]"
37,378.23,456.84,"[372, 854, 158, 771, 969, 325, 15, 987, 970]"
38,371.62,463.13,"[638, 90, 335, 803]"
39,337.795,460.845,[88]
40,335.88,460.405,[891]
41,313.07,476.75,"[52, 978, 818, 610, 439, 5, 429]"
42,286.83,483.18,"[170, 190, 198, 434]"
43,260.76,483.5,"[626, 105, 931, 378, 354]"
44,254.46,489.57,"[921, 925]"
45,240.87,502.71,"[899, 885]"
46,241.1,515.79,"[676, 421]"
47,218.575,493.685,[284]
48,217.16500000000002,482.935,[826]
49,188.8,489.57,"[253, 132]"
50,165.525,473.865,[187]
51,164.18,465.34000000000003,[380]
52,189.06,450.81,[484]
53,195.2,436.95,"[660, 492, 417, 189, 68, 364, 451]"
54,201.57,410.83,"[600, 918, 520, 957, 618, 16, 846, 226]"
55,223.325,399.61,[374]
56,232.03500000000003,395.115,[731]
57,248.05,397.91,"[327, 311, 40, 124, 729, 330, 564, 9]"
58,247.75,404.76,"[593, 391]"
59,254.21,417.65,[273]
60,247.32,424.0,"[419, 133]"
61,270.435,424.775,[559]
62,294.54,406.595,[496]
63,306.53,393.405,[333]
64,319.63,404.4,"[255, 54, 116, 206, 641, 654, 808, 517]"
65,326.52,417.89,"[141, 693]"
66,319.29,431.1,[631]
67,313.43,429.19,"[414, 47, 861]"
68,295.265,380.45,[252]
69,320.06,365.83,[656]
70,326.22,359.3,[473]
71,326.62,352.58,"[767, 26, 968, 444, 452]"
72,345.52,359.31,"[313, 260]"
73,372.06,352.33,"[257, 412]"
74,391.53,332.79,"[705, 837, 546]"
75,400.22,363.865,[873]
76,426.28499999999997,360.31,[640]
77,435.37,383.51,"[361, 799, 510, 815, 759]"
78,422.4,386.34,"[302, 768, 843, 236, 557, 505, 763]"
79,450.83,385.06,"[662, 11]"
80,489.24,378.62,"[592, 964, 584, 79]"
81,489.66,359.06,"[982, 928, 872, 393, 939, 70, 205, 742]"
82,493.0,345.76,[913]
83,493.0,321.01,[315]
84,493.0,306.26,"[304, 270, 804]"
85,476.11,286.8,[44]
86,476.88,280.86,"[951, 601, 33]"
87,482.95,267.07,"[717, 134, 277, 384, 436]"
88,493.0,240.94,"[685, 29, 615]"
89,493.0,214.72,"[864, 295, 477]"
90,469.89,182.65,[149]
91,489.61,169.23,"[442, 553, 547]"
92,493.0,157.99,"[836, 305, 858]"
93,493.0,137.29000000000002,"[225, 743]"
94,493.0,136.35,[405]
95,469.74,103.53,"[599, 355, 214, 556, 945, 65]"
96,476.37,97.56,"[279, 894]"
97,482.76,84.58,"[22, 947, 201, 728, 551, 6]"
98,493.0,62.55,[884]
99,489.64,25.29,"[613, 681, 193, 438, 570, 356]"
100,463.61,25.8,"[734, 515, 481]"
101,437.69,25.9,"[562, 388, 623]"
102,437.07,31.88,[773]
103,411.63,32.31,"[714, 675, 787, 888, 784, 285]"
104,411.58,52.09,"[528, 548, 179, 113, 821]"
105,392.855,25.0,[32]
106,358.99,25.0,"[478, 972, 345, 770]"
107,345.83,25.31,"[241, 565, 155, 890, 819, 711, 906]"
108,352.27,39.01,"[56, 514]"
109,328.025,25.0,[413]
110,300.16,25.51,"[386, 831, 447, 949, 782]"
111,286.87,51.36,"[324, 786, 748]"
112,280.84000000000003,52.05,"[832, 621, 757, 493]"
113,273.97,60.84,"[347, 800, 653, 261, 49, 272, 955]"
114,253.94,58.52,[84]
115,248.77,65.39,"[549, 774]"
116,255.57,48.11,[871]
117,228.46,32.36,"[110, 576, 745]"
118,215.02,38.32,"[318, 431]"
119,195.71,64.59,"[875, 531, 77]"
120,175.52,71.37,"[946, 154]"
121,181.17,84.95500000000001,[63]
122,190.685,86.995,[849]
123,201.64,103.62,"[828, 177]"
124,214.92,110.4,[912]
125,241.46,117.26,[34]
126,247.36,91.18,[892]
127,267.8,97.02,"[310, 524, 232, 738, 950, 220]"
128,273.22,94.01,"[456, 28]"
129,302.15,112.195,[488]
130,309.9,119.485,[802]
131,332.93,123.22,"[840, 976, 263]"
132,332.78,130.39,[649]
133,326.38,136.76999999999998,"[665, 596, 289]"
134,306.86,149.4,"[707, 479, 989, 376]"
135,293.82,162.97,"[320, 58, 503]"
136,308.395,183.915,[902]
137,319.95,214.77,"[727, 686]"
138,332.61,208.1,[8]
139,345.51,188.56,"[303, 13]"
140,358.48,189.13,"[691, 131, 664, 523, 612, 589]"
141,371.73,176.25,"[448, 929]"
142,378.32,182.58,[482]
143,391.28,175.57,"[887, 781]"
144,421.19,169.98,"[69, 603, 852, 368, 807]"
145,438.6,164.08,[919]
146,440.15,125.74,"[150, 104, 341, 863, 688, 215, 572]"
147,454.72,107.94,"[930, 185, 671, 45, 651, 231, 620]"
148,432.21,93.63499999999999,[489]
149,417.99,103.28999999999999,[137]
150,384.67,97.42,"[911, 490, 100, 530, 350, 860, 424, 353, 139, 642, 668, 917, 159, 625, 776, 699, 229, 41, 385, 221]"
151,385.41,117.05,"[453, 430, 194, 581]"
152,360.95500000000004,92.33500000000001,[898]
153,339.48,84.49000000000001,"[176, 507, 142, 740, 516, 915, 292]"
154,347.265,151.54500000000002,[536]
155,357.28,160.79500000000002,[876]
156,380.775,217.005,[495]
157,371.87,241.31,"[677, 692, 698, 909]"
158,354.385,263.62,[986]
159,345.7,267.76,[739]
160,365.08,280.05,"[83, 527, 765, 390, 338, 737, 848]"
161,378.64,287.42,"[769, 122]"
162,404.73,241.34,"[712, 329, 573]"
163,411.6,228.32,[883]
164,457.21,299.91,"[578, 352, 580]"
165,427.2,320.01,[24]
166,423.9,320.01,[24]
167,423.9,327.27,[24]
168,427.2,327.27,[24]
169,467.475,336.595,[708]
170,437.72,477.0,"[961, 443, 468, 117, 245, 50, 130, 259, 519, 96, 633]"
171,383.21000000000004,502.9,[721]
172,373.505,504.94,[172]
173,347.75,516.835,[736]
174,332.19,534.22,[940]
175,319.59,535.8199999999999,"[148, 513, 112, 914, 735, 275, 730, 755, 61]"
176,313.52,554.59,[952]
177,286.67,548.37,"[907, 136, 145, 720]"
178,290.76,531.175,[207]
179,255.88,557.8299999999999,[31]
180,265.91999999999996,568.78,"[627, 377, 407, 607]"
181,280.11,581.23,"[543, 208, 455]"
182,272.72,611.14,[394]
183,267.5,611.14,[394]
184,247.51,581.12,"[269, 508]"
185,221.35,588.04,"[309, 426, 406, 910, 274, 780, 680, 862, 616, 337, 258, 184]"
186,208.005,620.12,[339]
187,197.26999999999998,615.52,[151]
188,175.73,607.56,"[76, 427, 732, 62]"
189,154.95,583.0699999999999,[835]
190,169.73,574.58,"[373, 859, 706]"
191,163.21,554.77,[143]
192,145.39999999999998,550.5550000000001,[20]
193,130.44,555.19,"[322, 667, 979, 924, 59, 211]"
194,139.495,531.3299999999999,[290]
195,149.73000000000002,508.83,"[449, 312, 550, 682, 408, 230, 794]"
196,129.86,463.87,"[7, 60]"
197,103.75,444.05,"[702, 457, 778, 695, 694]"
198,123.88,412.46000000000004,[895]
199,143.48000000000002,424.55,"[67, 751, 833, 812, 256]"
