,x,y,comp_idx
0,290.0,25.0,[0]
1,88.46000000000001,696.97,"[465, 288, 428, 796, 2]"
2,74.53,871.52,"[1, 274, 146]"
3,60.78,899.43,"[100, 628]"
4,88.65,918.0,"[308, 116]"
5,104.89,918.0,"[122, 496]"
6,116.76,918.0,"[468, 304, 607, 710, 88]"
7,127.52000000000001,889.8599999999999,[27]
8,123.3,877.87,[681]
9,147.875,868.54,[416]
10,136.94,850.32,"[461, 321, 194, 67]"
11,113.18,826.915,[508]
12,116.22,815.57,"[743, 482, 695, 682, 587]"
13,88.33,815.28,"[575, 3, 648, 422, 432]"
14,74.63,822.12,"[615, 548]"
15,46.53,822.21,"[107, 253, 661, 368, 343, 145, 333, 715, 344, 550, 248, 192]"
16,25.17,822.58,"[273, 677, 85]"
17,51.129999999999995,848.75,[209]
18,25.54,870.87,"[763, 54, 147, 65, 133, 490, 6, 244]"
19,25.07,918.0,"[444, 254, 252, 802]"
20,151.45999999999998,913.31,"[41, 686, 246, 417]"
21,172.05,891.93,[635]
22,186.23,885.52,"[111, 278, 32, 213, 152]"
23,199.555,876.35,[658]
24,200.51,857.78,[678]
25,200.36,850.73,"[439, 426, 86, 510, 781]"
26,214.08,843.61,"[129, 421, 698, 225, 43]"
27,228.39,843.15,[688]
28,242.3,836.14,"[373, 719, 97, 198, 544, 596, 162, 690, 324, 365, 626]"
29,252.96,847.66,[683]
30,238.645,861.515,[588]
31,223.16500000000002,883.505,[255]
32,224.3,900.82,"[137, 31, 727, 501, 723]"
33,234.88,918.0,"[474, 17]"
34,247.4,908.1,[685]
35,263.02,885.53,"[342, 670, 352]"
36,277.33000000000004,871.67,[739]
37,290.0,885.67,"[494, 585, 251, 760]"
38,290.0,918.0,"[608, 80, 306]"
39,276.91999999999996,918.0,[761]
40,205.9,918.0,"[125, 222, 589]"
41,176.26999999999998,834.41,[730]
42,176.925,828.03,[249]
43,191.55,821.46,[34]
44,158.66,794.51,"[745, 315, 712, 330]"
45,147.395,776.8050000000001,[142]
46,133.76999999999998,784.0699999999999,[148]
47,137.24,752.63,"[264, 30]"
48,137.69,724.43,"[39, 420, 318, 99]"
49,155.24,728.76,[493]
50,179.28,752.58,"[310, 106, 319, 263, 57]"
51,222.63,741.765,[23]
52,233.43,750.365,[457]
53,232.25,756.04,[599]
54,246.63,766.18,"[627, 625]"
55,249.52,759.47,[568]
56,256.61,752.65,[663]
57,262.77,745.82,"[591, 165, 515, 559, 240, 701]"
58,233.215,728.46,[624]
59,200.24,696.96,"[792, 433, 787]"
60,179.07,703.45,"[25, 741, 633, 112, 605]"
61,179.78500000000003,676.465,[497]
62,168.48,651.29,[104]
63,183.365,638.455,[412]
64,207.52,661.84,[364]
65,207.17,668.54,[622]
66,227.78,633.8,"[284, 260, 130, 791]"
67,248.93,633.34,[239]
68,263.6,633.42,[7]
69,256.49,619.41,[636]
70,242.75,608.92,[279]
71,226.745,610.855,[784]
72,207.465,609.5799999999999,[11]
73,193.24,591.64,[507]
74,178.84,584.27,[114]
75,165.0,584.34,"[772, 750, 176]"
76,162.135,566.7,[393]
77,189.695,562.075,[353]
78,206.26,575.72,"[579, 270]"
79,214.58,570.6,"[790, 66, 311, 61, 197]"
80,245.835,582.365,[302]
81,277.48,584.41,[392]
82,290.0,577.74,"[631, 314, 73, 717]"
83,270.08000000000004,605.76,"[731, 709, 271, 478, 141, 449]"
84,290.0,627.03,"[517, 183, 662, 134, 563]"
85,290.0,675.4,"[529, 360, 173, 376, 415, 766]"
86,263.56,689.82,"[630, 348]"
87,290.0,724.49,"[51, 331, 567, 354]"
88,290.0,773.56,"[117, 168]"
89,290.0,822.31,"[181, 438, 773]"
90,277.23,829.48,"[595, 752, 462, 582, 175, 554, 45]"
91,228.45,787.26,"[408, 303, 637, 543, 82]"
92,230.45,779.12,"[94, 322, 221, 119]"
93,233.99,774.33,"[537, 84, 387, 266]"
94,112.65,728.47,[36]
95,88.32,724.95,"[150, 746, 696, 639]"
96,60.42,717.62,"[488, 234, 480, 410]"
97,64.08,701.5450000000001,[218]
98,65.065,674.19,[89]
99,53.78,675.49,"[95, 167]"
100,39.71,675.29,"[9, 502]"
101,29.545,650.845,[224]
102,63.2,626.04,"[500, 155]"
103,60.42,612.32,"[98, 261]"
104,76.38,605.05,"[120, 377]"
105,76.50999999999999,593.18,"[525, 657, 265]"
106,101.295,612.985,[775]
107,100.595,632.285,[533]
108,123.06,633.96,[267]
109,129.94,633.55,"[231, 407]"
110,144.26,626.93,"[357, 642, 53, 759, 660]"
111,123.12,654.39,"[419, 654, 220]"
112,116.21,675.53,"[481, 518]"
113,71.16999999999999,748.9749999999999,[687]
114,39.59,745.11,[706]
115,39.8,738.5,"[37, 547]"
116,25.71,759.07,[115]
117,46.09,773.03,[199]
118,95.77,773.15,"[789, 169, 413, 351]"
119,95.08,792.31,[684]
120,42.27,601.8599999999999,[621]
121,37.005,588.145,[600]
122,25.0,586.92,"[341, 464, 584, 384, 372, 42, 217, 201]"
123,25.59,549.92,"[282, 452, 748, 144]"
124,39.38,535.89,"[188, 204, 650, 177, 527, 361]"
125,53.805,539.75,[184]
126,56.33,537.46,[551]
127,63.735,532.615,[714]
128,59.525,513.065,[733]
129,46.129999999999995,521.88,"[498, 737, 232, 442, 538]"
130,75.92,516.52,[163]
131,77.92,507.83,"[403, 435, 182, 21, 379]"
132,109.24,507.64,"[641, 674]"
133,127.11500000000001,516.4449999999999,[339]
134,136.9,493.91,"[423, 371, 262, 798, 539]"
135,158.49,487.23,"[305, 293, 59, 326]"
136,193.22,514.51,"[127, 91, 128, 664, 285, 785, 545, 771, 418, 659, 388]"
137,214.43,509.95,"[157, 697, 758, 486]"
138,217.82,490.83000000000004,[676]
139,238.27,509.7,[405]
140,242.85,507.28,[555]
141,247.9,500.13,"[516, 228]"
142,248.64,489.25,[404]
143,249.45,479.45,[581]
144,270.1,466.14,"[703, 487, 609, 299, 475, 509, 320]"
145,288.93,460.32500000000005,[235]
146,290.0,482.04,"[556, 467, 159, 616]"
147,267.445,497.395,[307]
148,290.0,521.85,"[283, 801, 294, 566, 196, 666]"
149,290.0,435.13,"[391, 756, 394, 632, 277, 460, 754]"
150,290.0,420.835,[49]
151,281.21500000000003,413.34000000000003,[716]
152,277.33000000000004,388.85,"[212, 656, 50, 614]"
153,290.0,386.07,"[211, 619, 366]"
154,290.0,369.35,"[753, 699]"
155,290.0,359.615,[26]
156,268.945,373.81,[693]
157,253.97000000000003,364.615,[78]
158,242.4,368.26,[479]
159,235.18,374.65,"[347, 610, 190]"
160,227.555,395.745,[767]
161,201.89,393.15,"[520, 186]"
162,193.36,389.42,"[655, 425, 511, 332, 259, 301]"
163,178.94,375.15,"[526, 58]"
164,179.43,370.955,[473]
165,153.51999999999998,399.615,[149]
166,136.95999999999998,382.29,"[803, 38, 484, 560, 4]"
167,109.75,409.78,"[172, 409, 586, 69, 90]"
168,81.28999999999999,410.18,"[52, 164, 643]"
169,74.03,416.54,"[296, 121]"
170,53.89,423.155,[524]
171,39.64,430.68,"[281, 738]"
172,25.33,431.31,"[124, 463, 292]"
173,37.655,413.42,[558]
174,25.0,406.435,[602]
175,29.02,400.565,[477]
176,25.09,382.05,"[499, 335]"
177,25.81,354.36,"[645, 136, 451]"
178,43.535,336.875,[521]
179,67.57,353.78,[83]
180,81.46000000000001,353.94,"[46, 506, 359, 649, 13]"
181,102.53,319.2,"[170, 22]"
182,116.77,304.75,"[338, 214, 569, 675]"
183,120.735,288.175,[573]
184,144.51,283.9,[312]
185,151.12,277.3,"[363, 109, 430, 611]"
186,179.7,262.88,"[722, 369]"
187,186.37,249.27,"[334, 272, 275, 532, 512, 495, 289, 153]"
188,169.4,225.2,[530]
189,130.62,228.62,"[103, 505, 226, 383]"
190,137.07,179.2,"[629, 118]"
191,145.285,162.85000000000002,[397]
192,157.9,179.03,"[434, 72, 44, 241]"
193,172.53,158.29,"[76, 440, 200, 269, 161, 707]"
194,183.16000000000003,182.945,[732]
195,207.36,207.57,"[287, 458, 535, 448, 447, 345, 665, 268]"
196,219.755,207.07999999999998,[788]
197,232.145,204.57,[553]
198,244.7,193.725,[638]
199,234.07,186.0,[380]
200,228.58,165.1,"[705, 139, 565]"
201,256.28,158.23,"[399, 5, 12, 406, 597]"
202,277.3,144.20999999999998,"[28, 378]"
203,266.585,119.85,[131]
204,290.0,113.91,[720]
205,284.22,95.85,"[92, 427, 603]"
206,290.0,88.75999999999999,"[297, 166, 138, 309]"
207,290.0,74.44,"[160, 765]"
208,290.0,60.114999999999995,[570]
209,274.655,79.375,[450]
210,260.23,72.255,[668]
211,242.42,53.19,"[243, 245]"
212,235.08,46.230000000000004,"[522, 734, 382, 8, 340, 749, 580]"
213,235.43,32.14,"[313, 780, 325]"
214,218.01,29.195,[429]
215,173.04,27.59,"[158, 370, 179, 242]"
216,155.83,32.31,"[702, 74, 414, 195, 250, 402]"
217,149.95,48.81,"[33, 237, 10, 514]"
218,137.76,67.83,"[276, 671, 156, 375, 762]"
219,109.53,74.22999999999999,"[79, 552, 123, 210, 769]"
220,109.23,102.7,"[604, 711]"
221,88.66,123.74,"[154, 692]"
222,57.19,138.55,"[389, 456, 20, 385, 386, 215]"
223,49.14,146.7,"[777, 135]"
224,25.33,130.07999999999998,"[541, 594, 492, 606]"
225,25.57,88.77000000000001,"[700, 187, 219, 726]"
226,46.8,46.78,"[471, 113, 540]"
227,53.85,32.14,"[708, 395, 327, 672, 93]"
228,25.26,39.56,"[691, 742, 728, 151]"
229,25.0,25.0,[459]
230,88.12,25.77,"[724, 286, 203, 337, 561, 356, 75, 64, 669, 736, 349]"
231,102.29,25.22,"[592, 491, 564, 105]"
232,158.27,123.8,"[454, 799, 328, 96, 205, 291, 618, 227, 236]"
233,149.765,134.89999999999998,[747]
234,175.69,120.625,[523]
235,186.72,102.19,"[476, 143, 800, 593]"
236,200.65,94.97,"[238, 180]"
237,228.65,81.19,"[316, 396]"
238,211.04500000000002,140.685,[101]
239,199.94,143.98000000000002,"[70, 623, 542, 578]"
240,255.82,206.99,"[424, 571, 598]"
241,269.45,218.26,[793]
242,277.58000000000004,193.21,"[16, 680]"
243,290.0,200.28,"[744, 725, 782]"
244,244.02,230.52,"[704, 472]"
245,242.48,277.27,"[102, 18, 755, 390, 247, 398]"
246,256.31,277.14,"[531, 446, 108]"
247,260.275,294.94,[126]
248,246.91,309.05,[350]
249,220.98,319.34,[770]
250,207.67,318.82,"[653, 534]"
251,200.01,297.625,[81]
252,270.13,332.81,"[258, 644, 40, 193]"
253,283.94,325.97,[381]
254,284.45,319.51,"[230, 60, 132, 14]"
255,290.0,318.85,"[583, 783]"
256,290.0,269.98,"[443, 431, 483, 436, 445]"
257,249.33,416.79,"[202, 689, 223, 774]"
258,246.725,442.435,[437]
259,225.05,455.45,[694]
260,208.0,442.18,"[62, 317, 601, 546, 178, 590]"
261,200.2,444.68,"[574, 485, 280, 329, 640]"
262,199.82,451.6,"[620, 300]"
263,175.86,427.18,[47]
264,172.2,423.78,"[576, 797, 768, 455, 729]"
265,148.9,424.885,[48]
266,74.88,444.89,"[757, 400, 764]"
267,25.31,466.15,"[504, 778, 795, 536, 572, 189]"
268,80.74000000000001,558.89,"[634, 647, 549]"
269,88.34,556.78,"[174, 673, 140, 453, 185]"
270,98.85,555.85,[110]
271,116.81,549.9,"[24, 216, 617, 740, 374]"
272,116.8,584.59,"[358, 256, 718]"
273,151.59,535.63,"[503, 56, 441, 208, 295, 779]"
274,95.36,290.815,[29]
275,60.73,263.47,"[290, 362, 401]"
276,43.900000000000006,260.725,[71]
277,43.1,238.62,[528]
278,78.03999999999999,244.35,"[613, 519, 786, 562, 751, 35, 367, 612]"
279,80.99000000000001,199.86,"[233, 721, 229, 68, 513, 679]"
280,57.275000000000006,176.44,[87]
281,32.3,193.36,"[346, 15, 355, 735, 470, 652, 667]"
282,25.72,207.55,"[207, 489, 206, 55, 794]"
283,39.34,290.81,"[646, 577, 77]"
284,32.15,304.86,"[19, 257, 336]"
285,116.51,179.49,"[323, 191, 469, 466, 63]"
286,290.0,25.48,"[171, 298, 713, 411, 776, 557, 651]"
