,tl_x,tl_y,br_x,br_y,type,side,step,time
0,15.00,17.00,20.00,22.00,2,0,0,0.25
1,338.50,120.63,340.80,125.14,1,0,0,0.104
2,87.75,796.79,100.09,804.19,1,0,0,0.913
3,653.23,700.35,654.71,701.79,1,0,0,0.021
4,690.11,424.36,693.35,426.79,0,0,0,0.086
5,291.63,741.24,293.19,742.06,0,0,0,0.015
6,570.19,842.05,572.17,843.39,0,0,0,0.031
7,120.83,329.58,122.43,332.86,0,0,0,0.062
8,430.55,513.34,433.70,517.78,0,0,0,0.153
9,266.80,493.80,274.72,500.24,0,0,0,0.529
10,430.54,481.25,431.61,481.75,0,0,0,0.007
11,108.16,411.98,111.43,414.49,0,0,0,0.09
12,393.03,754.05,397.59,757.17,0,1,0,0.152
13,658.55,810.57,659.47,811.15,0,0,0,0.007
14,221.70,127.03,229.65,133.54,0,0,0,0.537
15,424.67,526.14,429.15,530.41,0,0,0,0.204
16,190.34,184.10,243.38,204.42,0,0,1,10.836
17,569.91,721.99,571.40,724.40,0,0,0,0.043
18,652.04,886.26,652.59,887.35,0,0,0,0.009
19,196.93,6.94,221.39,54.88,0,0,0,11.87
20,519.62,152.60,521.71,153.82,0,0,0,0.029
21,342.36,779.40,348.15,784.44,0,0,0,0.307
22,120.34,861.34,125.25,867.01,0,0,0,0.295
23,76.72,145.64,82.51,150.70,0,0,0,0.308
24,361.70,323.25,369.76,329.71,0,0,0,0.54
25,127.52,886.33,129.50,887.62,0,0,0,0.029
26,443.63,614.26,449.41,619.28,0,0,0,0.305
27,323.52,494.06,324.54,494.64,0,0,0,0.008
28,519.99,361.21,520.49,362.28,0,0,0,0.009
29,26.12,114.29,27.19,117.64,0,0,0,0.046
30,259.89,646.26,300.57,672.01,0,0,0,10.55
31,354.92,816.99,356.87,819.51,0,0,0,0.057
32,684.11,316.94,689.19,322.65,0,1,0,0.307
33,683.67,734.70,697.29,742.14,0,0,0,1.036
34,703.25,469.09,705.54,474.25,0,0,0,0.134
35,488.23,253.36,491.53,257.82,0,1,0,0.161
36,437.24,317.43,443.79,325.50,0,1,0,0.553
37,620.98,316.87,624.21,319.32,0,0,0,0.086
38,114.14,715.37,121.04,716.50,0,0,0,0.081
39,31.71,38.87,33.73,40.14,0,0,0,0.029
40,335.94,373.55,337.13,375.65,0,0,0,0.031
41,475.48,146.52,479.91,149.82,0,0,0,0.156
42,304.53,684.38,306.55,685.61,0,0,0,0.029
43,165.08,45.20,166.31,47.17,0,0,0,0.03
44,64.12,734.38,64.88,735.99,0,0,0,0.017
45,25.80,424.85,27.72,426.14,0,1,0,0.029
46,589.51,291.60,633.03,312.34,0,0,0,9.088
47,563.95,83.20,565.53,84.03,0,1,0,0.016
48,322.92,766.37,329.98,771.06,0,1,0,0.345
