,tl_x,tl_y,br_x,br_y,type,side,step,time
0,669.00,730.00,674.00,735.00,2,0,0,0.25
1,537.49,299.46,546.89,302.90,1,0,0,0.323
2,482.74,212.05,486.02,213.68,0,0,0,0.058
3,291.57,220.01,294.87,221.60,0,0,0,0.057
4,307.64,642.03,310.81,643.63,0,1,0,0.056
5,4.97,546.45,8.20,548.13,0,0,0,0.059
6,562.41,299.54,565.53,301.13,0,0,0,0.055
7,323.46,68.67,326.61,70.33,0,0,0,0.057
8,251.89,530.60,255.02,532.23,0,0,0,0.056
9,562.33,442.92,565.56,444.50,0,0,0,0.055
10,434.91,618.04,438.15,619.73,0,1,0,0.06
11,458.85,4.96,461.99,6.48,0,0,0,0.052
12,132.34,554.33,135.46,555.83,0,0,0,0.051
13,347.38,658.01,350.54,659.64,0,1,0,0.057
14,188.13,681.83,191.27,683.50,0,0,0,0.058
15,140.29,403.17,143.53,404.81,0,1,0,0.058
16,395.13,705.69,398.27,707.24,0,0,0,0.053
17,403.06,20.99,406.22,22.62,0,1,0,0.056
18,20.89,235.86,24.12,237.53,0,0,0,0.059
19,363.30,697.74,366.53,699.33,0,1,0,0.056
20,594.20,458.91,597.49,460.49,0,0,0,0.057
21,124.53,602.09,127.65,603.62,0,1,0,0.052
22,594.31,363.41,597.45,364.93,0,0,0,0.052
23,4.97,52.78,8.11,54.35,0,0,0,0.054
24,442.87,52.79,446.12,54.34,0,0,0,0.055
25,522.60,649.90,525.70,651.42,0,0,0,0.052
26,371.34,363.28,374.59,364.80,0,0,1,0.054
27,474.77,427.04,477.92,428.54,0,0,1,0.052
28,419.03,379.30,422.30,380.84,0,0,1,0.055
29,618.19,84.63,621.37,86.13,0,0,0,0.052
30,148.29,642.05,151.48,643.67,0,0,0,0.056
31,28.89,140.32,32.16,141.93,0,0,0,0.057
32,132.46,673.80,135.63,675.43,0,0,0,0.057
33,299.63,235.92,302.83,237.58,0,0,0,0.058
34,506.67,673.74,509.89,675.38,0,0,0,0.057
35,418.95,76.62,422.17,78.30,0,0,0,0.059
36,371.36,275.78,374.48,277.33,0,0,0,0.053
37,395.21,196.12,398.46,197.79,0,0,0,0.059
38,228.04,705.60,231.20,707.22,0,1,0,0.056
39,657.96,490.71,661.25,492.28,0,0,0,0.056
40,506.72,625.98,509.95,627.58,0,0,0,0.056
41,275.73,259.74,278.91,261.42,0,0,0,0.058
42,140.44,411.18,143.71,412.88,0,0,0,0.06
43,307.49,562.29,310.63,563.82,0,0,0,0.053
44,371.35,212.09,374.62,213.72,0,0,0,0.058
45,140.32,689.81,143.59,691.46,0,0,0,0.059
46,379.27,506.66,382.37,508.21,0,0,1,0.053
47,387.16,530.46,390.28,532.11,0,0,1,0.056
48,307.66,618.03,310.82,619.54,0,0,0,0.052
49,355.34,602.13,358.44,603.63,0,0,0,0.051
50,618.00,275.73,621.19,277.35,0,1,0,0.056
51,275.67,721.60,278.78,723.17,0,0,0,0.053
52,156.33,395.19,159.49,396.72,0,0,0,0.053
53,379.26,442.96,382.38,444.60,0,0,1,0.056
54,586.28,140.36,589.49,141.90,0,1,0,0.054
55,554.47,522.63,557.74,524.23,0,0,0,0.057
56,514.52,586.28,517.67,587.79,0,0,0,0.052
57,164.28,323.50,167.43,325.05,0,0,0,0.054
58,196.07,641.99,199.21,643.59,0,0,0,0.055
59,347.30,626.15,350.56,627.72,0,0,0,0.056
60,411.15,363.31,414.43,364.91,0,0,1,0.057
61,28.87,530.53,32.15,532.10,0,0,0,0.056
62,482.73,172.26,485.96,173.95,0,0,0,0.06
63,5.01,427.10,8.23,428.75,0,0,0,0.058
64,227.89,275.70,231.19,277.25,0,0,0,0.056
65,474.87,339.51,478.05,341.20,0,0,0,0.059
66,204.08,570.27,207.22,571.85,0,0,0,0.054
67,403.19,28.80,406.36,30.45,0,0,0,0.058
68,379.28,419.11,382.57,420.65,0,0,1,0.056
69,251.76,705.66,254.93,707.31,0,1,0,0.057
70,578.28,259.86,581.55,261.48,0,1,0,0.058
71,140.42,228.01,143.55,229.54,0,0,0,0.052
72,124.40,498.74,127.56,500.40,0,1,0,0.058
73,188.16,28.91,191.28,30.58,0,0,0,0.057
74,52.72,498.74,55.92,500.40,0,0,0,0.058
75,227.94,363.25,231.15,364.76,0,1,0,0.053
76,44.86,514.57,48.14,516.09,0,0,0,0.054
77,315.56,506.73,318.86,508.31,0,1,0,0.057
78,482.82,450.90,486.02,452.59,0,1,0,0.059
79,411.07,562.38,414.30,564.05,0,0,0,0.059
80,419.14,482.78,422.30,484.32,0,0,1,0.053
81,156.21,403.12,159.31,404.79,0,1,0,0.057
82,76.58,299.63,79.83,301.29,0,0,0,0.059
83,267.78,594.14,271.01,595.67,0,0,0,0.054
84,132.31,665.90,135.54,667.57,0,0,0,0.059
85,530.42,347.33,533.52,348.98,0,1,0,0.056
86,116.40,602.12,119.52,603.81,0,1,0,0.058
87,76.59,283.66,79.82,285.34,0,0,0,0.059
88,156.22,641.90,159.50,643.55,0,1,0,0.059
89,12.96,132.44,16.17,133.96,0,0,0,0.053
90,514.59,458.92,517.86,460.57,0,0,0,0.059
91,626.13,705.62,629.31,707.30,0,0,0,0.058
92,156.28,36.75,159.43,38.42,0,0,0,0.057
93,92.53,371.17,95.74,372.76,0,0,0,0.056
94,299.66,132.42,302.86,134.09,0,0,0,0.059
95,323.40,52.84,326.56,54.35,0,0,0,0.052
96,554.37,347.45,557.51,349.07,0,0,0,0.056
97,379.27,291.67,382.50,293.36,0,0,0,0.06
98,610.11,498.69,613.25,500.29,0,0,0,0.055
99,36.91,594.26,40.16,595.88,0,0,0,0.058
100,554.40,466.74,557.66,468.34,0,0,0,0.057
101,323.56,498.72,326.82,500.24,0,0,1,0.054
102,323.41,681.83,326.66,683.34,0,1,0,0.054
103,594.32,180.20,597.48,181.74,0,0,0,0.053
104,426.94,100.59,430.19,102.23,0,0,0,0.058
105,498.70,132.34,501.88,133.86,0,0,0,0.053
106,387.27,729.60,390.44,731.22,0,0,0,0.056
107,148.39,188.20,151.56,189.80,0,0,0,0.055
108,602.14,28.89,605.26,30.47,0,0,0,0.054
109,642.09,371.25,645.28,372.76,0,0,0,0.053
110,52.77,227.93,56.03,229.46,0,0,0,0.055
111,594.29,243.89,597.40,245.57,0,0,0,0.057
112,283.77,395.17,287.04,396.82,0,0,0,0.059
113,474.84,442.83,478.08,444.36,0,0,1,0.054
114,124.47,427.03,127.67,428.71,0,0,0,0.059
115,28.79,466.89,32.03,468.58,0,0,0,0.06
116,204.00,124.53,207.10,126.04,0,1,0,0.051
117,180.08,76.60,183.35,78.13,0,0,0,0.055
118,578.22,490.78,581.48,492.42,0,1,0,0.059
119,355.40,180.23,358.64,181.74,0,0,0,0.053
120,299.68,339.45,302.89,340.99,0,0,0,0.054
121,530.54,443.01,533.69,444.56,0,0,0,0.053
122,36.81,235.82,39.92,237.42,0,0,0,0.054
123,92.56,212.03,95.83,213.68,0,1,0,0.059
124,546.48,458.77,549.72,460.33,0,0,0,0.055
125,275.71,339.36,278.88,341.06,0,1,0,0.059
126,76.75,450.90,79.86,452.51,0,0,0,0.055
127,458.91,466.90,462.13,468.42,0,1,1,0.053
128,482.67,92.60,485.81,94.15,0,0,0,0.053
129,618.02,538.47,621.25,540.15,0,0,0,0.059
130,506.65,403.14,509.89,404.77,0,0,0,0.058
131,84.59,76.69,87.89,78.30,0,0,0,0.058
132,307.52,434.88,310.74,436.55,0,0,0,0.059
133,442.85,657.98,446.09,659.52,0,0,0,0.055
134,243.79,482.67,246.99,484.24,0,1,0,0.055
135,315.53,546.48,318.76,548.13,0,0,0,0.058
136,299.62,474.88,302.83,476.45,0,0,0,0.055
137,148.42,140.30,151.65,141.96,0,0,0,0.058
138,100.56,498.76,103.71,500.31,0,0,0,0.053
139,331.38,124.46,334.63,126.06,0,0,0,0.057
140,28.84,124.46,32.06,125.99,0,0,0,0.054
141,275.75,20.89,279.01,22.41,0,0,0,0.054
142,21.00,458.95,24.13,460.45,0,0,0,0.051
143,275.67,427.07,278.88,428.67,0,0,0,0.056
144,347.45,164.32,350.61,165.86,0,1,0,0.053
