,x,y,comp_idx
0,649.0,718.0,[0]
1,523.76,316.55,"[250, 409, 324, 672, 621, 710, 1]"
2,508.19,300.36,[983]
3,491.78,332.48,"[348, 241]"
4,460.07,324.55,[65]
5,451.91,324.55,[434]
6,436.70500000000004,308.455,[399]
7,436.655,300.315,[317]
8,451.97,300.81,[822]
9,468.375,308.23,[510]
10,459.91,276.82,"[163, 578, 693, 507, 788]"
11,436.58000000000004,260.63,[426]
12,436.525,252.61,[346]
13,412.2,236.98,"[895, 839, 845, 533]"
14,436.01,221.17,[926]
15,460.06,205.26,"[376, 742]"
16,484.32000000000005,220.76,[833]
17,507.67,229.01,"[461, 2, 312, 562, 576]"
18,507.72,244.96,"[442, 730]"
19,491.84,260.83000000000004,"[551, 733, 1032]"
20,532.225,236.745,[572]
21,523.64,213.19,[838]
22,556.025,212.89,[721]
23,547.5,189.2,[591]
24,547.63,173.23,"[1038, 946, 318, 553, 313, 471]"
25,563.53,141.41,"[210, 366, 588, 978]"
26,571.35,141.49,"[943, 641]"
27,587.885,141.13,[54]
28,595.95,133.275,[901]
29,603.24,117.55,"[936, 689, 899, 702, 737]"
30,619.26,101.74,"[459, 586, 29]"
31,627.12,93.61,"[242, 812, 1041, 249]"
32,643.7,93.46000000000001,[846]
33,649.0,109.7,[549]
34,649.0,117.66,"[411, 486, 496, 616]"
35,649.0,133.09500000000003,[761]
36,643.6,133.275,[869]
37,649.0,157.47,[415]
38,619.3,157.44,"[908, 488]"
39,611.28,165.36,"[103, 236, 776, 393]"
40,595.9,173.01999999999998,[928]
41,603.35,221.11,"[615, 384, 451]"
42,603.29,236.93,"[793, 493, 480]"
43,611.8050000000001,252.64999999999998,[198]
44,619.595,276.54,[50]
45,635.19,276.88,"[767, 751]"
46,635.1,292.67,"[774, 195]"
47,643.0,300.73,[171]
48,627.76,316.385,[258]
49,603.23,300.8,[223]
50,579.7850000000001,276.57,[597]
51,579.38,252.88,"[351, 70]"
52,579.43,237.06,"[502, 296, 111]"
53,555.6,260.96000000000004,"[611, 448, 875]"
54,555.53,284.88,"[454, 6]"
55,547.57,300.63,[628]
56,547.98,316.46000000000004,[335]
57,563.995,308.35,[853]
58,571.37,340.62,"[96, 764, 1042, 880]"
59,587.35,332.59,[696]
60,555.42,372.33,"[750, 513, 911]"
61,531.97,348.155,[85]
62,523.69,388.35,"[887, 379]"
63,507.75,396.36,"[240, 678, 430, 629, 130, 605]"
64,483.88,388.26,[439]
65,475.97,404.14,[192]
66,459.91,404.18,"[888, 954, 27]"
67,436.515,379.995,[989]
68,444.04,356.37,[556]
69,460.5,364.03,[1002]
70,412.16,372.32,"[450, 60, 643, 407, 28, 596]"
71,388.22,380.35,[613]
72,388.27,356.52,[724]
73,388.31,340.57,"[971, 421]"
74,388.38,316.69,[829]
75,388.39,284.78,"[518, 305]"
76,380.35,284.88,"[427, 36, 97, 741, 428, 905]"
77,365.005,292.45500000000004,[386]
78,332.49,284.86,"[458, 387]"
79,332.66,260.83000000000004,"[579, 403]"
80,309.11,260.69,[467]
81,309.145,268.58500000000004,[630]
82,300.73,284.74,"[41, 360, 1016]"
83,300.66,308.66,"[152, 162, 404]"
84,277.35,316.265,[797]
85,277.29499999999996,340.21000000000004,[125]
86,300.71,340.46,[120]
87,300.71,364.36,[364]
88,284.83,364.36,"[184, 754, 375, 1023, 1026]"
89,276.86,380.32,"[414, 112]"
90,253.455,356.125,[237]
91,236.94,364.51,"[214, 709, 378, 75, 540, 729, 1056]"
92,189.28,340.49,"[57, 456, 784, 1040]"
93,181.22,356.43,"[526, 917, 924, 498]"
94,165.45,372.36,"[326, 52]"
95,165.43,404.17,"[503, 81, 42, 197]"
96,141.91,403.99,[15]
97,117.53,396.17,"[93, 759, 955, 213, 482]"
98,117.66,380.44,"[206, 985, 990, 656, 644, 723, 410, 476]"
99,69.86,396.32,"[1012, 203, 961]"
100,61.75,412.13,[222]
101,53.96,428.11,"[609, 212]"
102,38.03,443.97,"[484, 142, 115]"
103,30.009999999999998,452.1,[63]
104,29.98,483.94,"[504, 537, 418, 851]"
105,25.0,499.385,[592]
