,tl_x,tl_y,br_x,br_y,type,side,step,time
0,387.00,389.00,392.00,394.00,2,0,0,0.25
1,456.87,200.47,459.97,202.06,0,0,0,0.054
2,481.45,151.47,484.65,153.17,0,0,0,0.059
3,719.53,298.22,722.69,299.84,0,0,0,0.056
4,255.45,11.04,258.65,12.59,0,0,0,0.054
5,554.65,267.60,557.86,269.18,0,0,0,0.055
6,536.37,212.56,539.63,214.21,0,1,0,0.059
7,365.28,359.22,368.56,360.86,0,0,0,0.059
8,133.21,169.83,136.33,171.39,0,1,0,0.053
9,353.13,237.02,356.42,238.70,0,0,0,0.06
10,206.48,371.39,209.63,373.04,0,0,1,0.057
11,224.80,114.90,228.07,116.59,0,0,0,0.061
12,267.51,59.98,270.76,61.51,0,0,0,0.054
13,41.63,127.15,44.84,128.82,0,0,0,0.059
14,621.88,41.57,625.05,43.07,0,0,0,0.052
15,719.48,340.81,722.66,342.34,0,0,0,0.053
16,621.91,255.33,625.01,256.83,0,1,0,0.051
17,817.26,72.14,820.39,73.67,0,0,0,0.053
18,566.95,72.19,570.09,73.75,0,0,0,0.054
19,304.21,359.12,307.48,360.76,0,1,0,0.058
20,249.23,176.05,252.39,177.64,0,0,0,0.055
21,646.35,371.33,649.53,373.03,0,1,0,0.059
22,291.98,108.72,295.19,110.39,0,1,0,0.058
23,823.35,114.85,826.47,116.50,0,0,0,0.056
24,786.62,279.92,789.84,281.49,0,0,0,0.055
25,279.75,243.13,282.89,244.78,0,0,0,0.057
26,811.08,151.50,814.35,153.14,0,0,0,0.058
27,377.53,218.74,380.71,220.31,0,0,0,0.055
28,505.74,53.84,508.95,55.40,0,0,0,0.055
29,658.52,151.58,661.65,153.20,0,0,0,0.055
30,35.61,157.74,38.85,159.35,0,0,0,0.057
31,463.03,395.84,466.29,397.50,0,0,0,0.059
32,163.74,139.28,166.99,140.82,0,0,0,0.055
33,670.59,298.13,673.81,299.73,0,0,0,0.056
34,591.38,236.99,594.60,238.68,0,0,0,0.059
35,536.30,243.25,539.41,244.85,0,0,0,0.055
36,163.88,243.09,167.10,244.72,0,0,0,0.057
37,572.94,328.62,576.14,330.19,0,0,0,0.055
38,634.00,267.58,637.19,269.27,0,0,0,0.059
39,316.46,66.14,319.64,67.69,0,1,0,0.054
40,401.98,23.39,405.10,24.94,0,0,0,0.053
41,615.65,78.35,618.90,80.04,0,0,0,0.06
42,249.25,133.17,252.49,134.77,0,0,0,0.057
43,347.07,365.34,350.34,366.85,0,0,0,0.054
44,78.25,66.15,81.37,67.80,0,0,0,0.057
45,750.07,127.20,753.36,128.80,0,0,0,0.057
46,554.55,218.69,557.74,220.23,0,0,0,0.054
47,108.75,310.40,111.94,311.92,0,1,1,0.053
48,524.03,273.63,527.20,275.26,0,0,0,0.057
49,145.55,328.68,148.73,330.34,0,0,1,0.058
50,450.89,206.47,454.14,208.07,0,0,0,0.057
51,188.26,298.07,191.54,299.66,0,0,1,0.057
52,438.54,151.62,441.77,153.14,0,0,0,0.054
53,633.99,41.70,637.09,43.29,0,0,0,0.054
54,5.00,261.55,8.12,263.09,0,0,0,0.053
55,102.62,383.60,105.81,385.13,0,1,0,0.053
56,438.50,17.30,441.77,18.86,0,1,0,0.055
57,322.65,200.42,325.91,201.99,0,0,0,0.056
58,743.86,121.02,747.08,122.63,0,0,0,0.057
59,725.60,121.04,728.89,122.74,0,0,0,0.061
60,487.50,249.37,490.63,250.95,0,1,0,0.054
61,469.18,188.29,472.37,189.97,0,1,0,0.058
62,157.60,23.24,160.84,24.82,0,0,0,0.056
63,194.38,395.80,197.63,397.47,0,0,0,0.059
64,66.13,273.79,69.31,275.49,0,0,0,0.059
65,560.81,334.82,563.93,336.33,0,1,0,0.052
66,273.70,316.52,276.95,318.11,0,0,0,0.057
67,542.49,163.82,545.73,165.40,0,0,0,0.056
68,517.94,47.79,521.21,49.42,0,0,0,0.058
69,163.87,4.96,166.99,6.57,0,0,0,0.055
70,707.31,285.95,710.47,287.62,0,0,0,0.058
71,206.45,145.46,209.71,147.13,0,0,0,0.059
72,621.82,395.95,625.05,397.63,0,0,0,0.059
73,450.80,145.47,453.92,146.98,0,0,0,0.052
74,298.16,255.39,301.32,257.02,0,0,0,0.056
75,182.01,151.66,185.27,153.20,0,0,0,0.055
76,499.68,249.32,502.81,251.01,0,0,0,0.058
77,450.76,365.33,453.96,366.84,0,0,0,0.053
78,707.23,322.62,710.34,324.14,0,0,0,0.052
79,414.23,206.57,417.52,208.11,0,0,0,0.055
80,524.15,72.25,527.43,73.86,0,0,0,0.057
81,628.02,133.21,631.26,134.89,0,0,0,0.059
82,737.92,346.93,741.19,348.56,0,0,0,0.059
83,719.45,29.44,722.69,31.09,0,0,0,0.058
84,322.56,157.62,325.77,159.22,0,0,0,0.056
85,218.79,395.85,221.90,397.38,0,0,0,0.052
86,157.75,255.48,160.97,257.12,0,0,0,0.058
87,566.89,243.12,570.03,244.80,0,0,0,0.058
88,438.60,353.16,441.79,354.78,0,1,0,0.056
89,163.80,218.66,166.90,220.32,0,0,0,0.056
90,444.69,96.62,447.96,98.15,0,0,0,0.055
91,481.41,35.63,484.69,37.31,0,0,0,0.06
92,249.19,182.15,252.44,183.82,0,0,0,0.059
93,811.14,11.12,814.27,12.74,0,0,0,0.056
94,53.94,133.25,57.13,134.76,0,0,0,0.053
95,59.90,267.60,63.15,269.19,0,0,0,0.056
96,328.77,359.24,332.04,360.90,0,1,0,0.059
97,780.70,157.78,783.95,159.45,0,0,0,0.06
98,609.52,163.85,612.79,165.43,0,0,0,0.056
99,200.37,218.81,203.64,220.45,0,0,0,0.058
100,267.65,249.34,270.82,250.97,0,1,0,0.057
101,475.24,163.80,478.41,165.39,0,0,0,0.055
102,371.36,353.18,374.49,354.84,0,0,0,0.057
103,689.05,353.02,692.30,354.63,0,0,0,0.057
104,524.12,127.12,527.25,128.77,0,1,0,0.057
105,627.98,200.34,631.17,201.94,0,0,0,0.056
106,737.81,249.27,741.05,250.85,0,0,0,0.056
107,450.75,35.48,453.90,37.11,0,0,0,0.056
108,560.68,59.91,563.81,61.56,0,0,0,0.057
109,29.40,157.71,32.57,159.28,0,0,0,0.055
110,176.01,273.65,179.13,275.27,0,0,0,0.055
111,120.95,249.31,124.17,250.86,0,0,0,0.054
112,811.04,78.32,814.18,79.94,0,0,0,0.056
113,829.51,65.98,832.63,67.50,0,0,0,0.052
114,389.70,157.63,392.98,159.14,0,1,0,0.054
115,682.83,371.45,686.11,373.02,0,0,0,0.056
116,811.08,328.65,814.20,330.35,0,0,0,0.058
117,59.96,285.96,63.13,287.49,0,0,0,0.053
118,597.37,261.58,600.50,263.24,0,0,0,0.057
119,414.17,212.59,417.37,214.18,0,0,0,0.056
120,395.77,206.46,398.90,208.07,0,0,0,0.055
121,188.26,194.23,191.42,195.78,0,0,0,0.054
122,664.47,59.92,667.68,61.45,0,0,0,0.054
123,139.26,133.24,142.46,134.77,0,0,0,0.053
124,420.19,145.42,423.45,147.09,0,0,0,0.059
125,231.03,261.54,234.13,263.23,0,0,0,0.058
126,96.53,151.51,99.74,153.14,0,0,0,0.057
127,572.90,133.21,576.07,134.88,0,0,0,0.058
128,658.46,286.00,661.61,287.64,0,0,0,0.057
129,517.98,328.67,521.14,330.22,0,0,0,0.054
130,359.14,90.58,362.30,92.12,0,0,0,0.053
131,133.32,334.73,136.52,336.24,0,0,1,0.053
132,768.36,377.44,771.53,379.08,0,1,0,0.057
133,811.22,90.57,814.40,92.23,0,0,0,0.058
134,121.12,59.87,124.28,61.43,0,0,0,0.054
135,127.16,224.78,130.29,226.46,0,0,0,0.058
136,621.81,47.83,625.10,49.44,0,0,0,0.058
137,572.93,59.89,576.06,61.49,0,0,0,0.055
138,652.43,78.36,655.58,79.93,0,0,0,0.054
139,121.08,346.92,124.32,348.60,0,0,1,0.06
140,493.50,139.41,496.73,141.06,0,0,0,0.059
141,536.31,359.17,539.57,360.81,0,0,0,0.058
142,603.43,188.27,606.57,189.95,0,0,0,0.058
