,x,y,comp_idx
0,25.0,891.0,[0]
1,525.9,844.01,"[577, 1]"
2,546.72,856.94,[379]
3,569.085,864.175,[1187]
4,592.39,851.37,[1470]
5,607.19,821.78,"[152, 904, 1441]"
6,583.83,797.56,[1175]
7,592.41,777.44,[1191]
8,569.005,753.215,[188]
9,570.18,740.51,"[1233, 464, 467, 1145]"
10,577.65,740.36,"[862, 1010, 892]"
11,607.24,725.68,"[108, 365]"
12,614.56,696.02,"[1263, 1014, 1350, 1376, 270, 919]"
13,583.8199999999999,701.4449999999999,[1458]
14,548.04,681.16,"[1315, 102]"
15,540.69,681.28,"[655, 469, 243]"
16,555.4,659.05,"[888, 195, 214, 675, 116, 429, 1037]"
17,548.01,644.28,[966]
18,555.35,629.44,"[1373, 1220]"
19,599.86,584.95,"[936, 767]"
20,622.06,577.63,"[1367, 303]"
21,644.32,577.53,"[566, 571]"
22,657.79,583.075,[1293]
23,657.875,590.415,[510]
24,651.72,562.83,"[942, 408]"
25,644.14,510.97,"[941, 296, 274, 776, 1423]"
26,644.29,466.53,"[230, 1447, 973, 612, 1127]"
27,651.72,459.28,"[1338, 57]"
28,672.6700000000001,449.76,[404]
29,703.48,459.18,"[529, 412, 961, 550, 706, 398]"
30,696.08,473.99,[1046]
31,725.65,444.49,"[700, 504, 285, 1223]"
32,766.0,444.47,[145]
33,766.0,459.24,"[1137, 325, 1067]"
34,747.92,511.08,"[996, 1389, 349]"
35,740.46,533.21,[1081]
36,718.22,533.27,"[748, 32]"
37,710.76,540.66,"[1107, 1048, 1214, 770, 89, 279]"
38,709.665,560.76,[503]
39,733.02,585.0,"[155, 482]"
40,725.69,592.41,"[671, 1353]"
41,710.89,599.83,"[112, 273, 850, 247]"
42,681.22,607.29,[96]
43,681.31,614.6,"[1134, 61]"
44,651.62,629.46,[718]
45,644.14,636.74,"[766, 149, 1055]"
46,635.56,634.78,[505]
47,629.46,651.56,"[405, 1271, 1394, 840]"
48,614.65,659.0,[1327]
49,658.93,658.98,[908]
50,703.47,688.53,"[572, 419, 107, 99, 531, 1317, 259, 781]"
51,703.45,703.34,"[454, 414, 912, 258]"
52,724.45,723.635,[1321]
53,740.38,695.98,[8]
54,747.91,681.29,"[742, 1400, 711, 217, 800]"
55,762.57,673.76,[1299]
56,762.58,666.34,"[1407, 692, 1038, 406, 1280, 1022]"
57,766.0,659.03,[1221]
58,766.0,651.54,"[1098, 319]"
59,766.0,686.7149999999999,[876]
60,766.0,710.88,"[222, 882]"
61,747.81,747.79,[1275]
62,703.39,755.24,"[358, 10, 923, 930, 442]"
63,703.38,770.09,[863]
64,672.5450000000001,804.98,[234]
65,651.72,792.27,"[1044, 196, 950]"
66,659.02,755.18,"[1101, 162, 847, 682, 51]"
67,650.335,738.295,[856]
68,666.44,725.53,"[55, 761, 1164]"
69,717.005,671.7950000000001,[915]
70,766.0,584.93,"[1292, 463, 49]"
71,766.0,525.9100000000001,"[693, 82]"
72,747.81,399.92,"[7, 1004]"
73,740.36,400.07,"[198, 1328, 1031, 497, 1404, 26, 1347, 772]"
74,766.0,392.61,[441]
75,766.0,340.76,"[1141, 171, 818, 1340, 1033, 812]"
76,766.0,309.275,[400]
77,753.9100000000001,309.115,[253]
78,762.61,281.7,"[627, 1086, 53, 1284]"
79,766.0,252.09,"[1185, 440]"
80,766.0,252.01,[836]
81,766.0,227.87,[743]
82,740.44,222.5,"[1092, 478]"
83,732.96,244.53,"[1167, 874, 1246]"
84,725.67,244.64,"[511, 737, 756, 385]"
85,739.1700000000001,257.54999999999995,[546]
86,718.17,289.02,"[84, 1440, 620, 384]"
87,694.8199999999999,264.855,[948]
88,681.27,251.94,"[123, 1459, 728]"
89,673.79,266.9,[1469]
90,666.43,274.14,"[1414, 284, 1042, 1140]"
91,643.065,249.98,[5]
92,657.825,227.745,[848]
93,651.55,215.01,"[1369, 969, 1207, 369, 1228]"
94,666.39,178.1,"[944, 170, 1361, 918]"
95,666.44,155.81,"[251, 1296, 1096]"
96,702.28,153.715,[1108]
97,718.26,141.07,"[790, 878, 897, 147]"
98,733.11,133.6,"[625, 257, 1174, 733]"
99,754.06,146.375,[79]
100,766.0,141.06,"[428, 45]"
101,766.0,170.6,"[1450, 1479, 138, 462]"
102,753.9449999999999,168.62,[1100]
103,766.0,192.8,[382]
104,725.72,177.91,"[506, 1408, 435, 594]"
105,717.065,198.325,[563]
106,766.0,111.45,"[1422, 1063]"
107,766.0,74.43,[31]
108,733.01,81.75999999999999,[460]
109,718.27,74.4,"[981, 1013, 252, 725, 589, 255]"
110,709.605,57.61,[321]
111,694.865,50.17,[344]
112,688.63,37.46,"[1177, 1430]"
113,688.71,29.96,"[1212, 777, 551, 1105, 4, 778]"
114,673.78,37.49,"[816, 1285, 219, 539, 605]"
115,709.6700000000001,35.425,[643]
116,733.1,59.65,[946]
117,747.89,37.49,"[376, 569, 1202]"
118,673.88,89.27,"[1253, 1151, 1020, 1403]"
119,643.06,94.61,[1355]
120,629.47,103.95,"[213, 1258, 173]"
121,614.57,111.47,"[1087, 853, 740, 1480, 1243, 731]"
122,570.31,140.95999999999998,"[698, 391, 899, 172, 297]"
123,546.915,116.71,[1211]
124,533.12,103.9,"[199, 784, 680, 871, 845, 970, 1256]"
125,555.45,89.22,"[1311, 1125, 1475]"
126,532.0250000000001,65.03,[635]
127,533.29,52.21,"[886, 1427]"
128,525.86,37.38,[331]
129,518.4,44.769999999999996,"[1360, 1417, 264]"
130,510.95,44.86,"[431, 945, 636]"
131,509.86,28.035,[995]
132,494.97,25.0,[178]
133,488.77,52.239999999999995,"[1322, 1000, 683, 92, 686, 142, 1303, 668, 455]"
134,451.85,59.57,"[256, 1203]"
135,451.8,66.92,[218]
136,444.38,66.96000000000001,"[1043, 177]"
137,457.98,79.78999999999999,[1008]
138,451.84,103.97,[169]
139,458.03999999999996,116.945,[1235]
140,437.01,103.96,"[1308, 975, 54, 191, 1219, 657, 327]"
141,428.4,79.785,[293]
142,421.065,72.495,[839]
143,392.68,44.84,"[875, 642, 1182, 74, 483]"
144,369.245,25.0,[828]
145,340.84,30.04,"[488, 815, 1225]"
146,317.46500000000003,35.355000000000004,[396]
147,289.07,30.07,"[371, 242, 1128, 35]"
148,265.645,27.94,[471]
149,265.645,42.74,[377]
150,229.74,44.89,"[186, 809]"
151,222.33,30.1,"[436, 960, 513, 1388, 1463]"
152,206.38,25.0,[33]
153,163.19,44.72,"[645, 374, 90, 1278, 453, 1451]"
154,147.275,87.065,[1358]
155,163.3,104.02,"[1180, 1345, 691, 1457, 1056, 1241, 927]"
156,184.34,131.54000000000002,[466]
157,191.57999999999998,131.625,[480]
158,207.71,155.72,[653]
159,243.45999999999998,168.64499999999998,[844]
160,243.375,190.78,[1366]
161,266.88,192.82,[19]
162,266.78999999999996,177.93,"[806, 207, 976]"
163,274.14,148.5,"[1398, 932, 1297, 420, 735]"
164,274.22,103.95,"[295, 209, 1401, 968, 1234, 972, 481]"
165,281.53,96.56,[146]
166,222.43,89.27,"[689, 333, 832, 474, 584, 1359]"
167,222.4,111.31,[628]
168,163.18,163.17,"[1282, 1411]"
169,169.405,183.42000000000002,[1435]
170,155.79,185.32,[278]
171,133.6,178.08,"[746, 287, 624]"
