,x,y,comp_idx
0,25.0,25.0,[0]
1,222.64,75.49000000000001,[2]
2,51.94,251.65,"[3, 150]"
3,865.84,625.51,"[1, 292]"
4,855.26,635.11,[243]
5,841.4449999999999,601.51,[176]
6,870.0,595.6,[224]
7,855.64,545.44,"[124, 51]"
8,869.44,534.64,[200]
9,870.0,525.05,[310]
10,825.29,545.74,"[340, 334]"
11,775.85,545.85,"[7, 312]"
12,755.41,565.72,[76]
13,702.16,585.57,[324]
14,702.16,588.86,[324]
15,705.9,605.62,[348]
16,705.51,655.79,"[283, 338]"
17,765.57,665.83,[221]
18,795.67,695.0,[131]
19,825.89,685.67,"[346, 141]"
20,833.8199999999999,694.6800000000001,[319]
21,805.4,625.93,[132]
22,765.75,495.12,[184]
23,741.78,470.75,[104]
24,745.35,425.16,[22]
25,785.37,395.12,"[247, 114]"
26,798.66,362.6,[197]
27,805.23,345.68,"[202, 186]"
28,777.3399999999999,355.23,[65]
29,780.6700000000001,321.45500000000004,[289]
30,805.84,315.2,[321]
31,815.88,285.32,[93]
32,781.6800000000001,291.82,[342]
33,745.59,275.77,[61]
34,745.3,325.51,"[258, 216, 133, 156, 213, 98]"
35,703.065,323.19,[206]
36,675.5,305.62,[17]
37,661.175,291.315,[135]
38,630.98,273.27,"[309, 62, 136, 227]"
39,621.57,279.4,[267]
40,575.49,295.44,"[154, 274]"
41,567.01,254.32999999999998,[153]
42,567.01,235.42,[153]
43,585.46,225.7,[13]
44,635.16,225.43,"[112, 58, 9]"
45,585.38,175.11,[226]
46,575.58,125.27,[232]
47,545.6,125.91,[164]
48,535.39,145.48000000000002,[242]
49,495.49,95.11,"[41, 245]"
50,455.49,135.45,[74]
51,465.16,163.18,[144]
52,473.51,163.18,[144]
53,431.77,112.06,[86]
54,405.53,125.05,[161]
55,371.75,136.735,[55]
56,335.23,155.77,[127]
57,315.6,135.54,[335]
58,315.29,135.54,[335]
59,265.83000000000004,155.85,[207]
60,243.07,153.135,[336]
61,244.335,132.875,[32]
62,263.155,93.125,[181]
63,275.56,95.2,[282]
64,285.44,35.4,[31]
65,265.82,26.92,[42]
66,245.85,26.92,[42]
67,205.91,25.45,[199]
68,187.12,85.14,[26]
69,175.66,85.14,[26]
70,165.41,95.87,[100]
71,155.81,105.47,"[89, 96, 349]"
72,135.85,135.76,"[81, 250]"
73,145.20999999999998,161.92,[211]
74,146.49,161.92,[211]
75,161.695,190.465,[317]
76,175.84,235.48,[284]
77,175.84,258.67,[284]
78,153.105,283.46000000000004,[39]
79,132.99,283.28,[168]
80,115.1,275.28999999999996,[212]
81,95.16,285.15,"[137, 230, 173, 99]"
82,99.83,299.12,"[45, 278, 331, 140]"
83,76.08000000000001,314.845,[269]
84,45.33,335.54,"[57, 118]"
85,35.38,365.69,"[69, 279]"
86,63.754999999999995,401.405,[251]
87,85.78,385.54,[119]
88,44.415000000000006,424.18,[301]
89,25.6,435.28,"[172, 29]"
90,38.97,455.46,[27]
91,38.97,471.58,[27]
92,25.56,495.17,[111]
93,25.1,545.31,"[170, 158, 18]"
94,30.770000000000003,581.1,[109]
95,55.28,605.85,[220]
96,52.325,622.325,[347]
97,33.28,638.81,[304]
98,25.83,638.81,[304]
99,35.07,655.26,[275]
100,45.870000000000005,695.0,"[307, 149, 91]"
101,93.28,661.3,[223]
102,93.28,655.5,[223]
103,114.465,695.0,[15]
104,165.9,645.36,"[16, 281, 225]"
105,185.14,666.19,[195]
106,188.17,666.19,[195]
107,215.7,665.84,[67]
108,215.31,695.0,[290]
109,235.22,695.0,"[236, 160, 85]"
110,263.41499999999996,695.0,[246]
111,265.21000000000004,675.12,[162]
112,299.54,635.42,"[24, 262, 10, 165]"
113,311.615,631.115,[88]
114,325.6,605.12,"[239, 49, 294]"
115,343.07,643.235,[228]
116,335.82,655.68,[308]
117,323.03,687.18,[110]
118,375.17,695.0,[259]
119,375.51,617.37,[68]
120,392.6,617.37,[68]
121,375.07,595.63,[82]
122,392.09000000000003,571.59,[169]
123,415.48,595.32,[75]
124,404.81,519.34,[84]
125,375.87,519.34,[84]
126,335.86,525.49,[296]
127,315.2,525.61,"[343, 255]"
128,295.44,475.87,"[78, 240]"
129,335.31,471.06,[306]
130,351.05,471.06,[306]
131,405.2,445.46,[298]
132,423.46,417.8,[145]
133,400.66999999999996,394.45000000000005,[159]
134,435.26,375.68,"[313, 329, 194]"
135,457.88,375.81,[40]
136,475.71,365.38,[237]
137,457.88,399.05,[40]
138,475.92,455.93,[46]
139,475.72,505.79,[12]
140,500.98,511.655,[208]
141,525.2,535.06,[215]
142,555.49,530.41,[48]
143,570.02,530.41,[48]
144,585.45,585.9,[123]
145,601.14,601.64,[341]
146,605.27,635.25,"[34, 330, 205]"
147,610.99,651.34,[177]
148,634.0350000000001,643.95,[263]
149,635.69,675.83,[130]
150,621.8599999999999,682.715,[311]
151,645.3,695.0,[326]
152,583.325,644.3399999999999,[23]
153,555.63,655.81,"[320, 167]"
154,514.0350000000001,656.31,[87]
155,495.3,625.51,[80]
156,455.14,685.65,"[183, 188]"
157,495.58,545.38,[54]
158,555.85,465.27,[129]
159,601.29,462.03,[19]
160,601.29,445.9,[19]
161,606.32,399.66,"[142, 187, 286]"
162,609.61,343.4,[163]
163,609.61,335.71,[163]
164,595.5,335.71,[163]
165,595.5,343.4,[163]
166,542.44,375.66,[52]
167,545.87,395.06,[101]
168,542.44,396.74,[52]
169,525.19,405.46,"[214, 192, 261, 37]"
170,521.3299999999999,370.31,[318]
171,465.58,315.47,[166]
172,505.93,269.22,[53]
173,512.43,269.22,[53]
174,512.43,255.07,[53]
175,505.93,255.07,[53]
176,469.3,235.55,"[97, 143]"
177,405.86,251.65,[59]
178,391.33,264.32,[198]
179,385.16,275.62,[204]
180,370.3,271.7,"[178, 139]"
181,361.99,285.18,[260]
182,355.77,286.19,"[43, 270, 297]"
183,366.76,240.155,[253]
184,395.31,205.11,"[271, 190]"
185,405.57,215.75,[288]
186,315.7,195.37,"[71, 90, 264]"
187,292.83,226.57,[102]
188,275.64,226.57,[102]
189,235.11,265.37,[299]
190,245.31,300.65,[73]
191,271.57,300.65,[73]
192,315.75,365.82,[126]
193,352.23,354.89,[222]
194,352.23,345.93,[222]
195,295.56,405.64,[323]
196,275.13,425.06,[108]
197,215.25,445.18,[4]
198,205.2,465.49,[180]
199,215.89,475.55,[30]
200,245.25,515.24,[265]
201,245.12,575.69,"[209, 280, 344, 256]"
202,235.33,605.45,"[28, 218]"
203,211.60000000000002,632.38,[254]
204,155.43,585.14,[244]
205,182.125,551.335,[6]
206,175.47,505.1,[314]
207,125.81,475.41,[120]
208,115.9,485.09,[203]
209,95.25,535.88,[189]
210,85.77000000000001,575.73,[95]
211,105.23,595.44,"[25, 115]"
212,65.63,445.12,[248]
213,145.49,425.57,[147]
214,145.86,375.83,[134]
215,155.19,305.74,[174]
216,215.23,360.64,[77]
217,219.23,360.64,[77]
218,77.32499999999999,277.0,[8]
219,90.865,251.92000000000002,[325]
220,65.63,235.71,"[327, 201]"
221,25.0,251.45,[155]
222,75.86,180.15,[303]
223,83.45,180.15,[303]
224,74.63,148.57,[20]
225,81.86500000000001,121.53,[333]
226,95.2,105.87,[229]
227,55.64,105.43,[125]
228,45.78,148.57,[20]
229,105.28,145.68,[300]
230,55.41,45.4,"[241, 328]"
231,125.7,25.34,"[332, 47]"
232,355.86,55.94,[231]
233,445.6,65.94,"[305, 121]"
234,465.62,25.52,"[185, 339]"
235,525.4,25.42,"[5, 249]"
236,595.39,65.09,[148]
237,625.07,35.6,"[233, 128]"
238,657.585,43.325,[179]
239,715.19,25.21,"[11, 196]"
240,755.66,25.12,"[322, 38]"
241,765.93,65.28999999999999,[113]
242,745.93,75.47999999999999,"[117, 276]"
243,745.24,95.07,[106]
244,703.97,126.94999999999999,[50]
245,675.57,126.94999999999999,[50]
246,665.5,105.1,"[293, 285]"
247,625.06,105.37,[146]
248,535.81,215.73,"[210, 72]"
249,664.035,354.21000000000004,[219]
250,685.76,375.16,[257]
251,705.25,365.61,[175]
252,715.5,365.82,[116]
253,675.65,415.48,[287]
254,675.97,425.38,[107]
255,675.97,431.47,[107]
256,675.37,445.32,[345]
257,654.535,437.26,[21]
258,675.26,475.34,"[268, 315]"
259,685.21,545.27,"[191, 182]"
260,626.59,545.79,[235]
261,625.74,545.79,[235]
262,625.74,568.0,[235]
263,626.59,568.0,[235]
264,805.87,484.08,"[337, 273, 295, 66, 152, 70]"
265,820.51,472.64,"[193, 217, 234]"
266,835.83,425.67,"[83, 266]"
267,855.2,408.48,[35]
268,866.44,408.48,[35]
269,845.71,385.81,"[33, 60]"
270,870.0,355.14,"[36, 291, 151, 171]"
271,870.0,344.26,[157]
272,870.0,282.24,[94]
273,863.255,232.935,[105]
274,870.0,205.29,[122]
275,805.83,213.08,[238]
276,805.83,185.92,[238]
277,773.39,225.87,[56]
278,765.72,225.87,[56]
279,725.06,215.13,"[277, 63, 92, 44]"
280,801.51,114.73,[272]
281,809.39,94.75,"[252, 14, 316, 138]"
282,835.15,65.53999999999999,[79]
283,865.46,35.31,"[302, 103]"
284,870.0,32.21,[64]
