,tl_x,tl_y,br_x,br_y,type,side,step,time
0,596.00,15.00,601.00,20.00,2,0,0,0.25
1,50.19,500.42,51.86,501.15,0,0,0,0.014
2,271.63,17.17,273.61,18.51,0,1,0,0.031
3,438.68,519.61,441.81,522.03,0,0,0,0.083
4,292.22,622.22,300.75,625.08,0,0,0,0.253
5,500.72,300.26,509.63,303.88,0,0,0,0.333
6,20.76,650.38,32.20,651.86,0,0,0,0.174
7,132.60,246.74,135.54,247.82,0,0,1,0.035
8,330.73,360.31,333.85,364.88,0,0,0,0.156
9,450.31,600.24,456.04,604.90,0,0,0,0.281
10,180.59,250.09,220.90,270.29,0,0,1,8.205
11,170.47,430.91,174.90,434.09,0,0,0,0.15
12,465.70,294.79,466.86,296.71,0,0,0,0.028
13,209.45,364.06,210.20,365.60,0,0,1,0.016
14,280.66,30.60,300.69,84.56,0,0,0,10.97
15,520.79,294.61,525.45,301.21,0,0,0,0.327
16,17.11,225.31,17.61,226.32,0,0,0,0.008
17,302.42,577.74,306.83,580.95,0,1,0,0.151
18,323.15,610.22,325.16,611.54,0,0,0,0.03
19,0.19,230.34,49.12,308.42,0,0,0,38.439
20,520.23,540.38,577.42,571.51,0,0,0,17.894
21,530.51,329.04,532.52,330.35,0,0,0,0.03
22,308.42,299.94,309.45,302.85,0,0,0,0.039
23,50.55,330.91,55.25,338.06,0,1,0,0.358
24,160.21,200.54,168.36,208.91,0,0,0,0.707
25,339.80,300.26,340.30,301.29,0,1,0,0.008
26,120.75,210.86,121.80,219.28,0,1,0,0.114
27,510.22,120.22,530.36,171.82,0,0,0,10.55
28,369.58,284.64,374.53,290.27,0,0,0,0.296
29,274.01,361.61,279.08,367.23,0,0,0,0.302
30,334.27,579.88,337.54,584.33,0,1,0,0.159
31,90.81,190.50,92.73,191.81,0,0,0,0.029
32,147.04,362.71,152.81,367.61,0,0,1,0.297
33,215.82,0.00,217.89,1.25,0,0,0,0.03
34,153.34,19.37,154.38,23.27,0,0,0,0.052
35,274.39,351.99,277.51,356.51,0,1,0,0.155
36,150.59,540.10,157.11,551.94,0,0,0,0.807
37,421.97,278.76,425.24,283.36,0,0,0,0.164
38,588.27,583.57,594.74,591.54,0,0,0,0.54
