,tl_x,tl_y,br_x,br_y,type,side,step,time
0,12.00,2.00,17.00,7.00,2,0,0,0.25
1,356.47,836.13,357.94,842.55,1,0,0,0.094
2,611.73,401.55,621.65,410.44,1,0,0,0.882
3,768.56,13.66,773.81,22.72,1,0,0,0.476
4,430.88,560.65,435.44,563.82,0,0,0,0.154
5,330.18,350.69,331.18,363.66,0,0,0,0.169
6,60.87,330.18,63.27,337.04,0,0,0,0.185
7,640.52,160.74,699.17,231.86,0,0,0,41.925
8,590.41,460.86,593.67,462.53,0,0,0,0.059
9,200.50,790.41,225.44,831.03,0,0,0,10.255
10,415.44,469.25,417.05,471.11,0,0,0,0.036
11,550.06,478.76,563.51,488.58,0,0,0,1.35
12,457.68,335.72,459.35,336.49,0,0,0,0.015
13,500.36,20.88,552.03,61.44,0,0,0,21.079
14,200.95,100.28,204.06,101.83,0,0,0,0.053
15,170.28,860.62,220.47,888.34,0,0,0,13.996
16,180.11,910.79,183.24,915.35,0,0,0,0.156
17,90.43,870.35,92.04,873.60,0,0,0,0.062
18,540.30,500.54,542.73,503.75,0,1,0,0.088
19,300.91,180.62,364.30,204.34,0,0,0,15.11
20,297.81,403.78,298.55,405.42,0,0,0,0.017
21,30.43,70.60,30.93,71.60,0,0,0,0.008
22,650.95,70.78,652.89,72.09,0,0,0,0.029
23,563.01,22.53,565.51,25.66,0,1,0,0.088
24,110.63,710.94,113.93,712.48,0,1,0,0.055
25,350.83,550.28,351.88,564.78,0,0,0,0.196
26,580.60,650.71,583.86,653.16,0,1,1,0.087
27,181.02,904.88,185.52,908.09,0,0,0,0.154
28,390.17,310.68,428.19,355.84,0,0,0,17.303
29,397.06,805.89,398.11,815.29,0,0,0,0.127
30,520.39,290.45,597.91,316.12,0,0,0,19.973
31,760.40,130.28,766.05,135.29,0,1,0,0.298
32,220.45,80.55,290.46,120.61,0,0,0,28.166
33,250.93,530.53,290.18,583.83,0,0,0,21.08
34,480.39,520.62,526.38,567.42,0,0,0,21.664
35,460.70,490.88,470.57,498.89,0,0,0,0.815
36,110.38,110.41,111.71,112.38,0,0,0,0.032
37,720.06,580.78,740.47,656.97,0,0,1,15.783
38,110.87,0.74,114.01,3.19,0,0,0,0.084
39,340.34,750.16,394.10,788.44,0,0,0,20.694
40,680.76,360.12,720.79,421.60,0,0,0,24.795
41,320.49,430.92,340.73,492.26,0,0,0,12.599
42,148.79,508.59,149.30,509.62,0,0,0,0.008
43,500.44,720.39,540.51,745.62,0,0,0,10.185
44,290.64,290.74,367.07,344.84,0,0,0,41.511
45,130.15,890.65,176.87,911.14,0,0,0,9.637
46,650.40,300.35,710.73,359.32,0,0,0,35.754
47,120.68,810.80,125.69,816.48,0,0,0,0.302
48,540.49,790.73,541.67,792.77,0,0,0,0.03
49,420.85,160.49,457.36,226.25,0,0,0,24.206
50,570.95,560.46,575.97,566.17,0,0,0,0.304
51,680.42,0.47,746.83,51.09,0,0,0,33.769
52,200.28,720.75,251.93,741.39,0,0,0,10.722
53,290.41,200.68,291.68,202.73,0,0,0,0.032
54,90.74,170.47,91.92,171.69,0,0,0,0.018
55,570.14,60.48,611.50,80.88,0,0,0,8.497
56,276.59,466.25,277.65,467.53,0,0,0,0.017
57,462.45,819.05,467.53,824.79,0,1,0,0.309
58,374.46,558.71,385.56,566.29,0,0,0,0.864
59,490.38,430.47,495.82,436.74,0,0,0,0.36
60,380.49,740.21,382.03,741.08,0,0,0,0.016
61,620.44,750.88,647.96,824.16,0,0,1,20.383
62,440.53,80.46,442.17,91.05,0,0,0,0.205
