,x,y,comp_idx
0,25.0,25.0,[0]
1,636.73,426.55,[2]
2,766.0,38.66,[3]
3,375.18,855.42,"[367, 1, 350]"
4,360.64,850.64,[334]
5,395.84,845.07,[120]
6,422.06,830.89,"[29, 145]"
7,445.18,795.69,[390]
8,427.53,771.235,[215]
9,405.49,765.21,[60]
10,369.1,763.44,[39]
11,365.34,763.44,[39]
12,377.13,696.87,[150]
13,374.64,659.79,[284]
14,355.49,659.79,[284]
15,325.86,665.37,[304]
16,305.79,675.79,"[287, 63]"
17,281.32500000000005,652.23,[193]
18,305.27,615.09,[223]
19,315.09,615.57,[279]
20,352.14,590.625,[407]
21,375.83,575.28,"[25, 412]"
22,387.18,574.26,[179]
23,393.15,564.17,"[436, 457, 289, 208, 58]"
24,425.92,545.46,"[462, 4]"
25,475.41,555.86,[206]
26,505.39,545.62,[34]
27,541.515,502.145,[18]
28,555.23,495.41,"[138, 11, 165]"
29,565.23,469.19500000000005,[441]
30,565.4,455.63,"[440, 369, 349, 468, 201, 321]"
31,581.83,443.89,"[221, 288, 385, 249, 338, 8, 78]"
32,587.5,487.67,"[293, 384, 246]"
33,613.31,482.6,[278]
34,626.56,437.55,[357]
35,675.94,475.84,[421]
36,685.77,525.6600000000001,[91]
37,655.36,565.12,[238]
38,635.16,595.87,[280]
39,625.09,615.07,[444]
40,603.34,592.745,[319]
41,595.95,585.46,[50]
42,615.21,575.49,"[196, 404]"
43,574.9449999999999,591.26,[336]
44,595.2,635.49,[175]
45,582.23,651.935,[26]
46,605.6,675.71,[315]
47,645.32,675.72,[141]
48,646.25,675.72,[141]
49,695.95,645.31,"[163, 342]"
50,715.47,631.97,[37]
51,725.8,635.16,"[401, 160]"
52,715.47,605.78,[37]
53,725.31,565.88,"[324, 178]"
54,766.0,562.19,[70]
55,766.0,585.14,[396]
56,766.0,635.49,[265]
57,755.56,685.65,[455]
58,766.0,705.21,[459]
59,730.16,711.21,[213]
60,720.655,721.325,[183]
61,730.16,695.3,[213]
62,745.37,745.86,"[313, 465]"
63,725.77,775.57,[88]
64,705.18,785.63,[195]
65,695.11,785.26,[191]
66,672.585,763.155,[234]
67,635.42,735.29,[439]
68,622.96,775.88,[61]
69,622.96,799.16,[61]
70,573.75,802.09,"[381, 211, 102]"
71,565.49,815.73,[48]
72,525.94,816.12,[149]
73,525.52,816.12,[149]
74,508.78,815.88,[308]
75,490.99,817.73,"[274, 456]"
76,464.99,821.92,[57]
77,487.17,852.57,[360]
78,505.74,898.7,[143]
79,507.09000000000003,898.7,[143]
80,455.94,905.58,[273]
81,451.22,906.0,[382]
82,447.03,906.0,[355]
83,395.32,895.22,"[217, 157]"
84,315.69,889.81,[285]
85,315.73,906.0,[422]
86,315.69,865.15,[285]
87,302.095,823.2049999999999,[97]
88,275.37,835.51,"[372, 408, 329]"
89,262.815,821.915,[327]
90,255.38,845.49,[458]
91,225.5,815.41,"[9, 105]"
92,195.78,838.87,"[133, 218, 155]"
93,195.47,863.34,[15]
94,195.28,863.34,[15]
95,192.48,863.88,"[281, 113, 92]"
96,169.32,849.285,[189]
97,155.84,865.16,"[128, 207]"
98,145.68,835.8,"[47, 86]"
99,115.39,845.56,[344]
100,115.43,895.35,[17]
101,155.15,906.0,"[45, 359]"
102,205.11,906.0,[16]
103,206.02,906.0,"[27, 417]"
104,255.78,906.0,[386]
105,265.23,906.0,"[124, 433, 318]"
106,285.66,775.22,[322]
107,275.08000000000004,735.91,[378]
108,302.12,728.0550000000001,[328]
109,226.93,716.39,[52]
110,225.28,716.39,[52]
111,205.32,745.81,"[374, 262]"
112,175.23,785.86,"[109, 309]"
113,135.63,735.94,"[235, 290]"
114,116.84,751.29,"[188, 416]"
115,105.79,755.6,"[348, 294]"
116,112.28,711.71,[24]
117,165.28,675.87,[82]
118,215.53,675.21,[277]
119,233.55,675.48,[67]
120,233.55,678.43,[67]
121,215.2,645.32,[106]
122,191.74,591.2,"[295, 387]"
123,229.32,584.715,[220]
124,232.25,554.34,[216]
125,265.18,555.53,[33]
126,265.18,558.83,[33]
127,263.98,513.1700000000001,"[270, 203]"
128,240.605,489.44,[371]
129,225.83,475.25,"[83, 94]"
130,255.92,455.23,"[264, 255, 248, 56]"
131,263.93,452.78,[90]
132,272.44,451.86,"[283, 98]"
133,251.515,443.20500000000004,[210]
134,231.17,430.73,[299]
135,215.62,415.29,[310]
136,195.4,425.19,"[146, 137]"
137,225.65,385.51,[296]
138,235.07,355.77,[393]
139,235.79,335.22,[229]
140,255.28,325.19,"[424, 362]"
141,285.79,375.81,[140]
142,262.67,385.68,[244]
143,262.67,398.21,[244]
144,315.05,375.64,"[198, 5]"
145,335.21,375.63,[170]
146,345.81,425.5,[119]
147,322.81,428.78,"[20, 306]"
148,315.73,455.92,[41]
149,315.73,467.26,[41]
150,322.84,525.63,[174]
151,322.84,549.83,[174]
152,375.06,515.4300000000001,"[164, 356]"
